Row Label,PrecinctCode,County,Registered Voters,Victoria Meadows
Total,-1,MA,NULL,13808
PICKERING,113,MA,NULL,388
HARSTINE,114,MA,NULL,524
GRAPEVIEW,115,MA,NULL,487
MASON LAKE,116,MA,NULL,331
FAIR HARBOR,117,MA,NULL,281
ALLYN,118,MA,NULL,664
VICTOR,119,MA,NULL,270
BELFAIR,120,MA,NULL,337
TIGER LAKE,121,MA,NULL,207
DEWATTO,122,MA,NULL,393
TAHUYA,123,MA,NULL,368
SAND HILL,124,MA,NULL,439
TRAIL&#39;S END,125,MA,NULL,429
TWANOH,126,MA,NULL,251
BORDEAUX,205,MA,NULL,67
KAMILCHE POINT,207,MA,NULL,212
UNION,227,MA,NULL,597
SKOKOMISH,228,MA,NULL,88
HOOD CANAL,229,MA,NULL,420
CUSHMAN,230,MA,NULL,476
EELLS,231,MA,NULL,132
MATLOCK,232,MA,NULL,330
DAYTON,233,MA,NULL,308
KAMILCHE,234,MA,NULL,163
ISABELLA,235,MA,NULL,255
AIRPORT,236,MA,NULL,491
JOHN&#39;S PRAIRIE,237,MA,NULL,296
LIMERICK,238,MA,NULL,524
OLYMPIC VIEW,301,MA,NULL,485
DOWNTOWN,302,MA,NULL,323
ANGLESIDE,303,MA,NULL,406
HILLCREST,304,MA,NULL,289
FAWN LAKE,306,MA,NULL,462
ARCADIA,308,MA,NULL,440
MILL CREEK,309,MA,NULL,476
AGATE,310,MA,NULL,381
OAKLAND BAY,311,MA,NULL,322
TIMBERLAKE,312,MA,NULL,485
CALLANAN,339,MA,NULL,11
