Row Label,PrecinctCode,County,Registered Voters,Sarah Hayne,Ketu Shah
Total,-1,KI,NULL,2385,1750
Total,-1,KI,NULL,2385,1750
BOTHELL 31,10141598,SN,NULL,145,139
BOTHELL 32,10141599,SN,NULL,110,76
BOTHELL 33,10141600,SN,NULL,141,91
BOTHELL 34,10141601,SN,NULL,137,151
BOTHELL 35,10141602,SN,NULL,136,86
BOTHELL 36,10141603,SN,NULL,139,89
BOTHELL 37,10141604,SN,NULL,184,132
BOTHELL 38,10141605,SN,NULL,151,91
BOTHELL 39,10141606,SN,NULL,116,84
BOTHELL 40,10141607,SN,NULL,172,108
BOTHELL 41,10141608,SN,NULL,160,127
BOTHELL 42,10141609,SN,NULL,160,162
BOTHELL 43,10141610,SN,NULL,110,77
BOTHELL 44,10141611,SN,NULL,109,95
BOTHELL 45,10141612,SN,NULL,76,57
BOTHELL 46,10141613,SN,NULL,181,64
BOTHELL 47,10141644,SN,NULL,158,121
