Row Label,PrecinctCode,County,Registered Voters,Dave Aldrich,Bruce King
Total,-1,SN,NULL,87694,77822
BOTHELL 31,10141598,SN,NULL,157,121
BOTHELL 32,10141599,SN,NULL,108,77
BOTHELL 33,10141600,SN,NULL,122,102
BOTHELL 34,10141601,SN,NULL,157,121
BOTHELL 35,10141602,SN,NULL,112,97
BOTHELL 36,10141603,SN,NULL,104,125
BOTHELL 37,10141604,SN,NULL,169,131
BOTHELL 38,10141605,SN,NULL,128,109
BOTHELL 39,10141606,SN,NULL,110,86
BOTHELL 40,10141607,SN,NULL,173,101
BOTHELL 41,10141608,SN,NULL,160,136
BOTHELL 42,10141609,SN,NULL,167,148
BOTHELL 43,10141610,SN,NULL,102,90
BOTHELL 44,10141611,SN,NULL,116,92
BOTHELL 45,10141612,SN,NULL,70,64
BOTHELL 46,10141613,SN,NULL,126,108
BOTHELL 47,10141644,SN,NULL,146,121
ELWOOD,10144165,SN,NULL,133,111
RAINIER,10144171,SN,NULL,70,66
GRANNIS,10144266,SN,NULL,131,105
SUNSET,10144271,SN,NULL,190,136
VIEW,10144330,SN,NULL,153,120
WITHERS,10144338,SN,NULL,165,127
CAVALRY,10144370,SN,NULL,139,128
MAPLEWOOD,10144426,SN,NULL,102,122
PARKSHORE,10144479,SN,NULL,103,84
STAFFORD,10144484,SN,NULL,80,78
REDHAWK,10144552,SN,NULL,176,125
VALLEY,10144559,SN,NULL,42,35
GATEWAY,10144581,SN,NULL,141,129
SNOCADE,10144592,SN,NULL,190,155
TOTEM FALLS,10144594,SN,NULL,207,131
WOODSHIRE,10144597,SN,NULL,92,117
SILVER CREEK,10144635,SN,NULL,106,75
KENNARD,10144639,SN,NULL,105,97
GLENBAR,10144646,SN,NULL,110,78
OLDMARK,10144656,SN,NULL,173,160
KINGMAN,10144685,SN,NULL,203,183
CRYSTAL CREEK,10144691,SN,NULL,64,74
TAMBARK,10144715,SN,NULL,135,92
BEAR CREEK,10154009,SN,NULL,97,100
MALTBY,10154026,SN,NULL,114,141
CATHCART,10154032,SN,NULL,73,92
CLEARVIEW,10154062,SN,NULL,165,111
MINOR,10154170,SN,NULL,143,118
BEECHER,10154178,SN,NULL,143,135
WOODLAND,10154273,SN,NULL,76,65
CREEK,10154283,SN,NULL,150,140
PARADISE,10154310,SN,NULL,169,117
TURNER,10154329,SN,NULL,185,188
WELLINGTON,10154333,SN,NULL,166,146
WHEELER,10154334,SN,NULL,117,113
BATTERY,10154369,SN,NULL,86,100
ECHO LAKE,10154372,SN,NULL,188,127
LOST LAKE,10154375,SN,NULL,91,71
BOSTIAN,10154387,SN,NULL,98,87
REES,10154435,SN,NULL,47,54
KOKANEE,10154535,SN,NULL,83,53
POND,10154551,SN,NULL,128,112
WELCH,10154560,SN,NULL,156,137
FALLS,10154579,SN,NULL,21,12
SILER,10154657,SN,NULL,91,71
BOULDER,11014016,SN,NULL,188,171
BRYANT,11014021,SN,NULL,48,60
ARMSTRONG,11014027,SN,NULL,91,122
