Row Label,PrecinctCode,County,Registered Voters,Bruce P Walker
Total,-1,PA,NULL,5961
Baleville,1,PA,NULL,49
Bay Center,2,PA,NULL,126
Chinook,3,PA,NULL,191
Eklund Park,4,PA,NULL,65
Frances-Lebam,6,PA,NULL,122
Ilwaco 1 Rural,7,PA,NULL,0
Ilwaco 2 Rural,8,PA,NULL,52
Klipsan,9,PA,NULL,250
Menlo-Firdale,11,PA,NULL,279
Nahcotta,12,PA,NULL,565
Naselle,13,PA,NULL,382
Nemah,15,PA,NULL,38
North Cove,16,PA,NULL,236
Pioneer 2,17,PA,NULL,158
North River,18,PA,NULL,24
Ocean Park 1,19,PA,NULL,150
Ocean Park 2,20,PA,NULL,368
Oysterville,21,PA,NULL,294
Pioneer,22,PA,NULL,187
Raymond W2 R,23,PA,NULL,36
Raymond W3 R,24,PA,NULL,37
Seaview 1,25,PA,NULL,233
Seaview 2,26,PA,NULL,18
Smith Creek,27,PA,NULL,47
South Bend 1 R,28,PA,NULL,42
South Bend 3R,29,PA,NULL,4
South Bend 2R,30,PA,NULL,10
South Fork,32,PA,NULL,101
Willapa,34,PA,NULL,331
Ilwaco City,101,PA,NULL,241
Long Beach,103,PA,NULL,390
Raymond W1p1,105,PA,NULL,20
Raymond W1p2,106,PA,NULL,109
Raymond W1p3,107,PA,NULL,115
Raymond W2,108,PA,NULL,133
Raymond W3,110,PA,NULL,190
South Bend 1,113,PA,NULL,158
South Bend 2,115,PA,NULL,86
South Bend 3,117,PA,NULL,124
