Row Label,PrecinctCode,County,Registered Voters,Virginia A. Leach
Total,-1,PA,NULL,5919
Baleville,1,PA,NULL,48
Bay Center,2,PA,NULL,124
Chinook,3,PA,NULL,199
Eklund Park,4,PA,NULL,56
Frances-Lebam,6,PA,NULL,113
Ilwaco 1 Rural,7,PA,NULL,0
Ilwaco 2 Rural,8,PA,NULL,53
Klipsan,9,PA,NULL,249
Menlo-Firdale,11,PA,NULL,260
Nahcotta,12,PA,NULL,569
Naselle,13,PA,NULL,382
Nemah,15,PA,NULL,38
North Cove,16,PA,NULL,226
Pioneer 2,17,PA,NULL,159
North River,18,PA,NULL,24
Ocean Park 1,19,PA,NULL,151
Ocean Park 2,20,PA,NULL,367
Oysterville,21,PA,NULL,293
Pioneer,22,PA,NULL,182
Raymond W2 R,23,PA,NULL,34
Raymond W3 R,24,PA,NULL,37
Seaview 1,25,PA,NULL,233
Seaview 2,26,PA,NULL,18
Smith Creek,27,PA,NULL,47
South Bend 1 R,28,PA,NULL,41
South Bend 3R,29,PA,NULL,4
South Bend 2R,30,PA,NULL,9
South Fork,32,PA,NULL,100
Willapa,34,PA,NULL,326
Ilwaco City,101,PA,NULL,249
Long Beach,103,PA,NULL,403
Raymond W1p1,105,PA,NULL,21
Raymond W1p2,106,PA,NULL,112
Raymond W1p3,107,PA,NULL,116
Raymond W2,108,PA,NULL,132
Raymond W3,110,PA,NULL,188
South Bend 1,113,PA,NULL,152
South Bend 2,115,PA,NULL,88
South Bend 3,117,PA,NULL,116
