Row Label,PrecinctCode,County,Registered Voters,Joe Basil,Michael 'Mike' Swanson
Total,-1,PA,NULL,2748,4363
Baleville,1,PA,NULL,39,37
Bay Center,2,PA,NULL,68,83
Chinook,3,PA,NULL,39,192
Eklund Park,4,PA,NULL,43,29
Frances-Lebam(*),6,PA,NULL,0,0
Ilwaco 1 Rural(*),7,PA,NULL,0,0
Ilwaco 2 Rural,8,PA,NULL,20,43
Klipsan,9,PA,NULL,103,175
Menlo-Firdale,11,PA,NULL,169,198
Nahcotta,12,PA,NULL,202,415
Naselle,13,PA,NULL,66,438
Nemah,15,PA,NULL,8,36
North Cove,16,PA,NULL,131,126
Pioneer 2,17,PA,NULL,64,131
North River,18,PA,NULL,8,19
Ocean Park 1,19,PA,NULL,61,110
Ocean Park 2,20,PA,NULL,129,253
Oysterville,21,PA,NULL,105,217
Pioneer,22,PA,NULL,71,143
Raymond W2 R,23,PA,NULL,22,31
Raymond W3 R,24,PA,NULL,25,15
Seaview 1,25,PA,NULL,88,170
Seaview 2,26,PA,NULL,8,17
Smith Creek,27,PA,NULL,37,33
South Bend 1 R,28,PA,NULL,26,27
South Bend 3R,29,PA,NULL,4,2
South Bend 2R,30,PA,NULL,4,6
South Fork,32,PA,NULL,75,59
Willapa,34,PA,NULL,216,208
Ilwaco City,101,PA,NULL,80,222
Long Beach,103,PA,NULL,147,292
Raymond W1p1,105,PA,NULL,18,13
Raymond W1p2,106,PA,NULL,81,52
Raymond W1p3,107,PA,NULL,83,65
Raymond W2,108,PA,NULL,67,94
Raymond W3,110,PA,NULL,123,113
South Bend 1,113,PA,NULL,110,82
South Bend 2,115,PA,NULL,54,57
South Bend 3,117,PA,NULL,78,70
