Row Label,PrecinctCode,County,Registered Voters,James (Jim) Civilla
Total,-1,KP,NULL,53442
BREMERTON 001,100001,KP,NULL,167
BREMERTON 002,100002,KP,NULL,117
BREMERTON 003,100003,KP,NULL,283
BREMERTON 005,100005,KP,NULL,210
BREMERTON 006,100006,KP,NULL,189
BREMERTON 007,100007,KP,NULL,5
BREMERTON 012,100012,KP,NULL,71
BREMERTON 013,100013,KP,NULL,252
BREMERTON 015,100015,KP,NULL,308
BREMERTON 016,100016,KP,NULL,74
BREMERTON 022,100022,KP,NULL,231
BREMERTON 029,100029,KP,NULL,263
BREMERTON 030,100030,KP,NULL,262
BREMERTON 031,100031,KP,NULL,150
BREMERTON 032,100032,KP,NULL,46
BREMERTON 037,100037,KP,NULL,399
BREMERTON 040,100040,KP,NULL,269
BREMERTON 041,100041,KP,NULL,241
BREMERTON 046,100046,KP,NULL,288
BREMERTON 051,100051,KP,NULL,36
BREMERTON 052,100052,KP,NULL,208
BREMERTON 053,100053,KP,NULL,400
BREMERTON 054,100054,KP,NULL,185
BREMERTON 056,100056,KP,NULL,262
BREMERTON 058,100058,KP,NULL,325
ILLAHEE 065,100065,KP,NULL,374
SYLVAN 066,100066,KP,NULL,331
RAINIER 067,100067,KP,NULL,360
PERRY 073,100073,KP,NULL,196
UELAND 082,100082,KP,NULL,0
ROCKY POINT 083,100083,KP,NULL,402
RIDGEWAY 084,100084,KP,NULL,83
KITSAP LAKE 085,100085,KP,NULL,24
POWERLINE 086,100086,KP,NULL,3
BAYVIEW 087,100087,KP,NULL,92
BREMERTON 088,100088,KP,NULL,56
MARION 090,100090,KP,NULL,67
NAVY YARD CITY 095,100095,KP,NULL,326
OLYMPIC 099,100099,KP,NULL,37
TRIDENT 101,100101,KP,NULL,79
FRONTIER 102,100102,KP,NULL,362
OLYMPIC VIEW 103,100103,KP,NULL,261
BROWNSVILLE 105,100105,KP,NULL,435
OLD FRONTIER 106,100106,KP,NULL,376
BREMERTON 107,100107,KP,NULL,0
BREMERTON 109,100109,KP,NULL,30
CHARLAND 110,100110,KP,NULL,249
ALPINE 111,100111,KP,NULL,268
HERITAGE PARK 112,100112,KP,NULL,221
COUNTRY CLUB 113,100113,KP,NULL,198
BREMERTON 114,100114,KP,NULL,0
CLEAR CREEK 120,100120,KP,NULL,308
BUCKLIN 121,100121,KP,NULL,378
LUOTO 122,100122,KP,NULL,180
COTTONWOOD 125,100125,KP,NULL,300
FOREST RIDGE 126,100126,KP,NULL,212
WOODMERE 127,100127,KP,NULL,401
CENTRAL VALLEY 128,100128,KP,NULL,380
WINSTON 129,100129,KP,NULL,144
ERLANDS POINT 130,100130,KP,NULL,232
REGAL 131,100131,KP,NULL,92
FAIRVIEW 135,100135,KP,NULL,200
FIRGLADE 137,100137,KP,NULL,221
TIBARDIS 139,100139,KP,NULL,157
GILBERTON 140,100140,KP,NULL,272
RIDGEPOINT 141,100141,KP,NULL,243
UNIVERSITY POINT 142,100142,KP,NULL,226
KARIOTIS 143,100143,KP,NULL,351
CAMBRIDGE 144,100144,KP,NULL,226
SPINNAKER 146,100146,KP,NULL,243
BARKER CREEK 147,100147,KP,NULL,389
SANTA FE 148,100148,KP,NULL,298
RIDGETOP 149,100149,KP,NULL,259
MEADOWDALE 150,100150,KP,NULL,235
SYMINGTON 151,100151,KP,NULL,168
PIONEER 152,100152,KP,NULL,379
LARSON 153,100153,KP,NULL,392
SEABECK 155,100155,KP,NULL,420
LOST HIGHWAY 157,100157,KP,NULL,348
HOLLY 158,100158,KP,NULL,97
BREMERTON 159,100159,KP,NULL,182
SILVERDALE 160,100160,KP,NULL,343
MORKEN 161,100161,KP,NULL,437
APEX 162,100162,KP,NULL,365
ANDERSON CREEK 163,100163,KP,NULL,267
EAGLE CREST 164,100164,KP,NULL,397
SUTTON 165,100165,KP,NULL,231
TRACYTON 170,100170,KP,NULL,238
VENA 173,100173,KP,NULL,301
FUSON 175,100175,KP,NULL,323
PORT ORCHARD 200,100200,KP,NULL,176
PORT ORCHARD 201,100201,KP,NULL,267
PORT ORCHARD 202,100202,KP,NULL,385
PORT ORCHARD 203,100203,KP,NULL,180
PORT ORCHARD 204,100204,KP,NULL,271
PORT ORCHARD 205,100205,KP,NULL,677
PORT ORCHARD 206,100206,KP,NULL,0
PORT ORCHARD 207,100207,KP,NULL,319
PORT ORCHARD 208,100208,KP,NULL,0
PORT ORCHARD 209,100209,KP,NULL,0
PORT ORCHARD 210,100210,KP,NULL,227
CEDAR 211,100211,KP,NULL,296
ANNAPOLIS 212,100212,KP,NULL,417
BRASCH 213,100213,KP,NULL,347
LAKE HELENA 214,100214,KP,NULL,291
PORT ORCHARD 215,100215,KP,NULL,0
MINTERBROOK 216,100216,KP,NULL,163
SPRING CREEK 217,100217,KP,NULL,231
BURLEY 218,100218,KP,NULL,308
HUNTER 219,100219,KP,NULL,255
ALASKA 221,100221,KP,NULL,420
WOODRIDGE 222,100222,KP,NULL,188
NEBRASKA 223,100223,KP,NULL,322
WHISPERING PINES 227,100227,KP,NULL,335
FERNWOOD 230,100230,KP,NULL,366
GLENWOOD 232,100232,KP,NULL,416
HARPER 240,100240,KP,NULL,290
YUKON 241,100241,KP,NULL,239
WILSON CREEK 242,100242,KP,NULL,269
LONG LAKE 245,100245,KP,NULL,212
LOCKER 246,100246,KP,NULL,415
EBBERT 247,100247,KP,NULL,349
LUNDBERG 250,100250,KP,NULL,360
CONVERSE 252,100252,KP,NULL,299
MANCHESTER 255,100255,KP,NULL,267
EVERGREEN 257,100257,KP,NULL,473
WILLOCK 258,100258,KP,NULL,266
FRAGARIA 259,100259,KP,NULL,264
MULLENIX 260,100260,KP,NULL,383
BANDIX 263,100263,KP,NULL,317
OLALLA 265,100265,KP,NULL,221
CRESCENT VALLEY 266,100266,KP,NULL,307
OVERLOOK 267,100267,KP,NULL,295
MADRONA 269,100269,KP,NULL,273
PARKWOOD 270,100270,KP,NULL,395
CONIFER 271,100271,KP,NULL,190
SEDGWICK 272,100272,KP,NULL,380
SINCLAIR 275,100275,KP,NULL,165
SHERMAN HEIGHTS 278,100278,KP,NULL,8
BERRY LAKE 279,100279,KP,NULL,199
BELFAIR VALLEY 280,100280,KP,NULL,104
SUNNYSLOPE 281,100281,KP,NULL,265
DICKENSON 282,100282,KP,NULL,323
DRIVE-IN 283,100283,KP,NULL,7
TWIN LAKES 285,100285,KP,NULL,91
LIGHTHOUSE POINT 292,100292,KP,NULL,358
BREMERTON 293,100293,KP,NULL,2
BREMERTON 294,100294,KP,NULL,0
WATERMAN 295,100295,KP,NULL,209
BREMERTON 296,100296,KP,NULL,0
HEINS CREEK 297,100297,KP,NULL,0
BLUE HERON 301,100301,KP,NULL,452
AZALEA 302,100302,KP,NULL,368
WINSLOW 304,100304,KP,NULL,518
WING POINT 305,100305,KP,NULL,248
BLAKELY 310,100310,KP,NULL,260
CRYSTAL SPRINGS 312,100312,KP,NULL,394
FINCH 314,100314,KP,NULL,212
FERNCLIFF 315,100315,KP,NULL,453
EAGLE HARBOR 317,100317,KP,NULL,223
FORT WARD 318,100318,KP,NULL,315
ISLAND CENTER 320,100320,KP,NULL,300
MEADOWMEER 321,100321,KP,NULL,145
NEW BROOKLYN 322,100322,KP,NULL,197
LIBERTY 325,100325,KP,NULL,276
SKIFF POINT 328,100328,KP,NULL,264
ROLLING BAY 330,100330,KP,NULL,288
LOVGREN 332,100332,KP,NULL,179
TOLO 333,100333,KP,NULL,257
SEABOLD 335,100335,KP,NULL,356
MANZANITA 336,100336,KP,NULL,208
PORT MADISON 340,100340,KP,NULL,254
TORVANGER 345,100345,KP,NULL,344
POULSBO 401,100401,KP,NULL,448
POULSBO 403,100403,KP,NULL,304
POULSBO 404,100404,KP,NULL,375
POULSBO 405,100405,KP,NULL,347
POULSBO 406,100406,KP,NULL,416
POULSBO 407,100407,KP,NULL,271
BREIDABLIK 410,100410,KP,NULL,338
VINLAND 412,100412,KP,NULL,377
BELLA VISTA 413,100413,KP,NULL,252
HANSVILLE 415,100415,KP,NULL,199
POINT NO POINT 416,100416,KP,NULL,455
TWIN SPITS 417,100417,KP,NULL,344
S&#39;KLALLAM 418,100418,KP,NULL,34
POINT JEFFERSON 419,100419,KP,NULL,248
INDIANOLA 420,100420,KP,NULL,408
ORCA 421,100421,KP,NULL,239
APPLE TREE 422,100422,KP,NULL,362
HIGHLAND 423,100423,KP,NULL,182
KEYPORT 425,100425,KP,NULL,388
EVERGREEN RIDGE 426,100426,KP,NULL,132
ISLAND LAKE 427,100427,KP,NULL,311
KINGSTON 430,100430,KP,NULL,469
LEMOLO 435,100435,KP,NULL,268
LINCOLN 440,100440,KP,NULL,253
BIG VALLEY 441,100441,KP,NULL,213
LOFALL 442,100442,KP,NULL,454
PEARSON 445,100445,KP,NULL,424
PORT GAMBLE 450,100450,KP,NULL,322
STRIEBEL 453,100453,KP,NULL,279
GAMBLEWOOD 454,100454,KP,NULL,209
SCANDIA 455,100455,KP,NULL,320
MILLER BAY 458,100458,KP,NULL,369
SUQUAMISH 460,100460,KP,NULL,255
AUGUSTA 461,100461,KP,NULL,199
TOTTEN 463,100463,KP,NULL,276
SANDY HOOK 464,100464,KP,NULL,233
