Row Label,PrecinctCode,County,Registered Voters,Richard A. Weyrich
Total,-1,SK,NULL,26411
ALDER,101,SK,NULL,168
ALGER,102,SK,NULL,176
ALLEN,103,SK,NULL,112
DUNBAR,104,SK,NULL,56
AVON,105,SK,NULL,275
SAUK,107,SK,NULL,306
BAY VIEW,108,SK,NULL,250
BELFAST,109,SK,NULL,153
BIG LAKE,110,SK,NULL,376
BIRDSVIEW,111,SK,NULL,304
BOW,113,SK,NULL,397
CASCADE,114,SK,NULL,59
CEDARDALE,115,SK,NULL,112
CLEAR LAKE,116,SK,NULL,275
COUNTRY CLUB,117,SK,NULL,121
CONWAY,118,SK,NULL,121
DEWEY,119,SK,NULL,493
DIGBY,120,SK,NULL,22
DODGE VALLEY,121,SK,NULL,137
EDISON,122,SK,NULL,178
FIR,124,SK,NULL,134
FRUITDALE,125,SK,NULL,138
GEAR,126,SK,NULL,287
GUEMES,127,SK,NULL,277
HAMBURG,128,SK,NULL,134
HARMONY,129,SK,NULL,180
LAKE SIXTEEN,130,SK,NULL,130
LOOKOUT,132,SK,NULL,337
MANSFORD,133,SK,NULL,43
MAPES,134,SK,NULL,109
MARCH POINT,135,SK,NULL,18
MCMURRAY WEST,136,SK,NULL,158
MCRAE,137,SK,NULL,426
MCMURRAY EAST,138,SK,NULL,63
MINKLER,139,SK,NULL,195
MONTBORNE,140,SK,NULL,401
NOOKACHAMPS,141,SK,NULL,181
SKYRIDGE,144,SK,NULL,251
PRAIRIE,145,SK,NULL,286
POINT WILLIAMS,146,SK,NULL,228
RIDGEWAY,147,SK,NULL,207
ROCKPORT,148,SK,NULL,259
SHELTER BAY,149,SK,NULL,337
SNEE OOSH,150,SK,NULL,234
STERLING,151,SK,NULL,86
SWINOMISH,153,SK,NULL,319
TINGLEY,154,SK,NULL,155
VAN FLEET,155,SK,NULL,256
VEDERE,156,SK,NULL,219
WHITNEY,157,SK,NULL,134
ROSARIO,158,SK,NULL,391
TERRACE,159,SK,NULL,462
STARBIRD,160,SK,NULL,220
FIDALGO,164,SK,NULL,328
GAGES,165,SK,NULL,69
SAMISH,166,SK,NULL,207
COLLINS,167,SK,NULL,160
BLANCHARD,168,SK,NULL,292
VIEW TERRACE,170,SK,NULL,3
LAKE CAVANAUGH,171,SK,NULL,74
LITTLE MOUNTAIN,172,SK,NULL,127
RIVERBEND,173,SK,NULL,16
PADILLA,174,SK,NULL,68
FREDONIA,176,SK,NULL,62
ANACORTES  1,201,SK,NULL,277
ANACORTES  4,204,SK,NULL,220
ANACORTES 5,205,SK,NULL,8
ANACORTES  6,206,SK,NULL,246
ANACORTES  7,207,SK,NULL,578
ANACORTES  9,209,SK,NULL,292
ANACORTES 11,211,SK,NULL,410
ANACORTES 17,217,SK,NULL,527
ANACORTES 20,220,SK,NULL,453
ANACORTES 21,221,SK,NULL,550
ANACORTES 22,222,SK,NULL,377
ANACORTES 24,224,SK,NULL,578
MOUNT VERNON  1,301,SK,NULL,116
MOUNT VERNON  2,302,SK,NULL,137
MOUNT VERNON  3,303,SK,NULL,273
MOUNT VERNON  4,304,SK,NULL,415
MOUNT VERNON  5,305,SK,NULL,76
MOUNT VERNON  6,306,SK,NULL,239
MOUNT VERNON  7,307,SK,NULL,320
MOUNT VERNON  8,308,SK,NULL,531
MOUNT VERNON  9,309,SK,NULL,168
MOUNT VERNON 10,310,SK,NULL,167
MOUNT VERNON 11,311,SK,NULL,275
MOUNT VERNON 12,312,SK,NULL,144
MOUNT VERNON 14,314,SK,NULL,399
MOUNT VERNON 15,315,SK,NULL,193
MOUNT VERNON 16,316,SK,NULL,363
MOUNT VERNON 19,319,SK,NULL,327
MOUNT VERNON 21,321,SK,NULL,492
MOUNT VERNON 22,322,SK,NULL,484
MOUNT VERNON 27,327,SK,NULL,101
MOUNT VERNON 30,330,SK,NULL,341
SEDRO WOOLLEY  1,401,SK,NULL,297
SEDRO WOOLLEY  2,402,SK,NULL,320
SEDRO WOOLLEY  3,403,SK,NULL,229
SEDRO WOOLLEY  4,404,SK,NULL,309
SEDRO WOOLLEY  5,405,SK,NULL,401
SEDRO WOOLLEY  6,406,SK,NULL,290
SEDRO WOOLLEY  7,407,SK,NULL,6
BURLINGTON 1,501,SK,NULL,138
BURLINGTON 2,502,SK,NULL,166
BURLINGTON 3,503,SK,NULL,75
BURLINGTON 4,504,SK,NULL,226
BURLINGTON 5,505,SK,NULL,287
BURLINGTON 6,506,SK,NULL,153
BURLINGTON 7,507,SK,NULL,154
CONCRETE,601,SK,NULL,120
HAMILTON,701,SK,NULL,45
LA CONNER,801,SK,NULL,297
LYMAN,855,SK,NULL,69
