Row Label,PrecinctCode,County,Registered Voters,Brett Nagle,Jeffrey D. Goodwin
Total,-1,SN,NULL,24742,34507
ELWOOD,10144165,SN,NULL,93,154
GRANNIS,10144266,SN,NULL,97,133
SUNSET,10144271,SN,NULL,148,166
MAPLEWOOD,10144426,SN,NULL,92,126
PARKSHORE,10144479,SN,NULL,72,117
STAFFORD,10144484,SN,NULL,62,91
REDHAWK,10144552,SN,NULL,120,175
SILVER CREEK,10144635,SN,NULL,77,97
KENNARD,10144639,SN,NULL,87,111
GLENBAR,10144646,SN,NULL,102,77
OLDMARK,10144656,SN,NULL,122,213
CRYSTAL CREEK,10144691,SN,NULL,56,81
TAMBARK,10144715,SN,NULL,91,127
WOODLAND,10154273,SN,NULL,55,78
MILL CREEK  1,14441301,SN,NULL,142,174
MILL CREEK  2,14441302,SN,NULL,94,120
MILL CREEK  3,14441303,SN,NULL,73,92
MILL CREEK  4,14441304,SN,NULL,83,111
MILL CREEK  5,14441353,SN,NULL,167,181
MILL CREEK  6,14441354,SN,NULL,152,175
MILL CREEK  7,14441367,SN,NULL,8,8
MILL CREEK  8,14441376,SN,NULL,147,166
MILL CREEK  9,14441377,SN,NULL,111,135
MILL CREEK 10,14441472,SN,NULL,96,94
MILL CREEK 11,14441473,SN,NULL,98,93
MILL CREEK 12,14441495,SN,NULL,120,107
MILL CREEK 13,14441505,SN,NULL,97,118
MILL CREEK 14,14441629,SN,NULL,3,5
MILL CREEK 15,14441640,SN,NULL,123,136
MILL CREEK 16,14441652,SN,NULL,79,82
MILL CREEK 17,14441665,SN,NULL,107,159
MILL CREEK 18,14441666,SN,NULL,108,114
MILL CREEK 19,14441667,SN,NULL,168,170
MILL CREEK 20,14441668,SN,NULL,108,95
MILL CREEK 21,14441702,SN,NULL,64,55
MILL CREEK 22,14441703,SN,NULL,73,88
FERNWOOD,14444006,SN,NULL,94,115
BROOK,14444278,SN,NULL,115,165
HILL,14444293,SN,NULL,81,112
MISTY,14444305,SN,NULL,115,152
OAKS,14444308,SN,NULL,149,137
PUGET PARK,14444317,SN,NULL,89,121
KENWOOD,14444348,SN,NULL,92,129
OLYMPUS,14444357,SN,NULL,93,104
SEATTLE HILL,14444361,SN,NULL,110,97
DOUGLAS FIRS,14444576,SN,NULL,100,101
GRAND FIRS,14444582,SN,NULL,137,174
KATTENHORN,14444584,SN,NULL,151,185
SILVER FIRS,14444590,SN,NULL,151,167
SPRUCE,14444658,SN,NULL,70,68
WINDROSE,14444660,SN,NULL,167,168
STRAWBERRY,14444684,SN,NULL,124,135
DOGWOOD,14444693,SN,NULL,77,106
BERKSHIRE,14454075,SN,NULL,140,201
PINEWOOD,14454315,SN,NULL,107,127
HEARTHSTONE,14454458,SN,NULL,95,93
PIONEER TRAILS,14454480,SN,NULL,108,114
RUGGS LAKE,14454554,SN,NULL,129,140
KNOX,14454585,SN,NULL,3,11
SOUTH ALDERWOOD,20134083,SN,NULL,134,182
SAMOEA,20134196,SN,NULL,119,140
POPLAR,20134316,SN,NULL,53,76
CRAWFORD,20134690,SN,NULL,36,36
MOUNTLAKE TERRACE  1,20141090,SN,NULL,83,132
MOUNTLAKE TERRACE  2,20141091,SN,NULL,78,128
MOUNTLAKE TERRACE  3,20141092,SN,NULL,90,114
MOUNTLAKE TERRACE  5,20141093,SN,NULL,85,138
MOUNTLAKE TERRACE  6,20141094,SN,NULL,68,104
MOUNTLAKE TERRACE 11,20141138,SN,NULL,89,128
MOUNTLAKE TERRACE 12,20141139,SN,NULL,90,131
MOUNTLAKE TERRACE 13,20141140,SN,NULL,104,154
MOUNTLAKE TERRACE 14,20141141,SN,NULL,93,161
MOUNTLAKE TERRACE 15,20141142,SN,NULL,84,109
BRIER 1,20141179,SN,NULL,105,146
BRIER 2,20141180,SN,NULL,73,114
BRIER 3,20141181,SN,NULL,151,214
MOUNTLAKE TERRACE 17,20141189,SN,NULL,127,186
MOUNTLAKE TERRACE 18,20141190,SN,NULL,104,134
MOUNTLAKE TERRACE 19,20141191,SN,NULL,89,142
BRIER 4,20141276,SN,NULL,108,169
BRIER 5,20141277,SN,NULL,132,178
BRIER 6,20141343,SN,NULL,69,107
BRIER 7,20141344,SN,NULL,94,115
MOUNTLAKE TERRACE  4,20141432,SN,NULL,74,94
BRIER 8,20141614,SN,NULL,75,114
MOUNTLAKE TERRACE 16,20141630,SN,NULL,75,90
NORTH CREEK,20144065,SN,NULL,106,107
LOCUST,20144078,SN,NULL,90,153
WILLOWDALE(*),20144085,SN,NULL,0,0
HUNT(*),20144089,SN,NULL,0,0
MERIDIAN,20144136,SN,NULL,115,152
VINE,20144146,SN,NULL,80,140
ATLAS,20144177,SN,NULL,108,189
QUEENS,20144212,SN,NULL,102,130
WAXON,20144213,SN,NULL,136,190
COUNTRY,20144281,SN,NULL,68,95
CRYSTAL,20144284,SN,NULL,85,143
THRASHERS,20144324,SN,NULL,94,116
DAMSON,20144446,SN,NULL,123,179
WANDERING CREEK,20144596,SN,NULL,108,171
NEWTON,20144705,SN,NULL,71,109
SHELBY,22124100,SN,NULL,81,113
YORK,22124274,SN,NULL,110,157
WINGATE,22124337,SN,NULL,96,167
LYNNWOOD 19,22131422,SN,NULL,94,148
LYNNWOOD 34,22131538,SN,NULL,63,62
MEADOWDALE,22134040,SN,NULL,71,146
EMANDER,22134063,SN,NULL,117,135
ASH,22134076,SN,NULL,143,173
MANOR,22134079,SN,NULL,84,144
MANORDALE,22134080,SN,NULL,79,129
SERENE,22134082,SN,NULL,99,121
STICKNEY,22134084,SN,NULL,94,148
FIELD,22134088,SN,NULL,88,147
ALICIA,22134150,SN,NULL,106,162
CASCADE,22134152,SN,NULL,69,99
GROVE,22134183,SN,NULL,116,160
PIONEER,22134195,SN,NULL,97,135
GIBSON,22134265,SN,NULL,83,83
HEMLOCK,22134268,SN,NULL,140,183
COVE,22134282,SN,NULL,97,122
EMERALD,22134286,SN,NULL,92,148
PICNIC POINT,22134314,SN,NULL,78,126
SHORE,22134320,SN,NULL,126,144
NORMA,22134356,SN,NULL,75,128
PUGET,22134359,SN,NULL,63,142
SHADOW WOOD,22134362,SN,NULL,114,124
ALDER,22134368,SN,NULL,105,111
KEELER,22134373,SN,NULL,84,106
MARINER,22134427,SN,NULL,91,107
POST,22134434,SN,NULL,105,133
HIPOINT,22134459,SN,NULL,72,89
JEFF,22134460,SN,NULL,74,109
MADISON,22134463,SN,NULL,140,179
WOODGATE,22134489,SN,NULL,64,74
FAIRWOOD,22134492,SN,NULL,51,60
STONE GATE,22134497,SN,NULL,77,104
HILLMAN,22134501,SN,NULL,65,142
BEVERLY,22134520,SN,NULL,98,137
ADMIRALTY,22134642,SN,NULL,80,93
AVALON,22134688,SN,NULL,56,63
DALE,22134692,SN,NULL,108,134
JEFFERSON,22134699,SN,NULL,69,106
LUNDS GULCH,22134758,SN,NULL,37,50
MARTHA LAKE,22144081,SN,NULL,100,139
EAST SHORE,22144131,SN,NULL,101,138
FREEWAY,22144166,SN,NULL,105,140
ROYAL,22144209,SN,NULL,139,180
CASCADIAN,22144279,SN,NULL,105,184
CLOVER,22144280,SN,NULL,83,108
KENTISH,22144297,SN,NULL,83,97
WALNUT,22144331,SN,NULL,76,104
EVERGREEN,22144415,SN,NULL,66,92
FOREST,22144455,SN,NULL,130,121
NORTHROAD,22144476,SN,NULL,145,170
RHODY RIDGE,22144481,SN,NULL,78,90
FILBERT,22144527,SN,NULL,126,155
MEADOWCREST,22144546,SN,NULL,101,139
TERRACE,22144556,SN,NULL,19,31
ELFIN,22144578,SN,NULL,59,81
BUTTERNUT,22144689,SN,NULL,91,143
POPPY,22144707,SN,NULL,60,92
LYNNWOOD  1,23231115,SN,NULL,40,73
LYNNWOOD  2,23231116,SN,NULL,69,116
LYNNWOOD  3,23231117,SN,NULL,98,117
LYNNWOOD  4,23231118,SN,NULL,74,121
LYNNWOOD  5,23231119,SN,NULL,57,81
LYNNWOOD  6,23231120,SN,NULL,89,121
LYNNWOOD  7,23231121,SN,NULL,126,150
LYNNWOOD  8,23231122,SN,NULL,58,118
LYNNWOOD  9,23231123,SN,NULL,106,173
LYNNWOOD 10,23231124,SN,NULL,40,87
LYNNWOOD 11,23231125,SN,NULL,101,132
LYNNWOOD 13,23231168,SN,NULL,85,96
LYNNWOOD 16,23231186,SN,NULL,92,121
LYNNWOOD 17,23231201,SN,NULL,129,168
LYNNWOOD 18,23231202,SN,NULL,103,134
LYNNWOOD 20,23231203,SN,NULL,88,131
LYNNWOOD 22,23231204,SN,NULL,54,107
LYNNWOOD 23,23231205,SN,NULL,98,127
LYNNWOOD 24,23231206,SN,NULL,78,110
LYNNWOOD 28,23231207,SN,NULL,66,80
LYNNWOOD 29,23231208,SN,NULL,138,186
LYNNWOOD 30,23231210,SN,NULL,119,145
LYNNWOOD 12,23231419,SN,NULL,91,151
LYNNWOOD 14,23231420,SN,NULL,75,119
LYNNWOOD 15,23231421,SN,NULL,77,112
LYNNWOOD 21,23231423,SN,NULL,106,140
LYNNWOOD 31,23231424,SN,NULL,63,82
LYNNWOOD 32(*),23231462,SN,NULL,0,0
LYNNWOOD 33,23231516,SN,NULL,110,133
LYNNWOOD 25,23231626,SN,NULL,123,156
LYNNWOOD 26,23231627,SN,NULL,85,158
HILLTOP,23234077,SN,NULL,134,173
CYPRESS,23234175,SN,NULL,99,145
LAURA,23234184,SN,NULL,111,171
ALDERCREST,23234444,SN,NULL,23,25
LARCH,23234461,SN,NULL,100,122
MAGNOLIA,23234539,SN,NULL,92,102
PACIFIC,23234550,SN,NULL,30,34
RIDGEVIEW,23234755,SN,NULL,44,70
MOUNTLAKE TERRACE  7,23241095,SN,NULL,54,78
MOUNTLAKE TERRACE  8,23241096,SN,NULL,92,124
MOUNTLAKE TERRACE  9,23241097,SN,NULL,63,92
MOUNTLAKE TERRACE 10,23241137,SN,NULL,123,193
NILE,23244749,SN,NULL,0,0
SILVER LAKE,24444074,SN,NULL,93,128
DUMAS,24444285,SN,NULL,100,120
HOLIDAY,24444294,SN,NULL,65,63
EDMONDS  1,72131101,SN,NULL,95,178
EDMONDS  2,72131102,SN,NULL,108,173
EDMONDS  3,72131103,SN,NULL,126,177
EDMONDS  4,72131104,SN,NULL,88,161
EDMONDS  5,72131105,SN,NULL,69,113
EDMONDS  7,72131107,SN,NULL,108,227
EDMONDS  8,72131108,SN,NULL,146,216
EDMONDS  9,72131109,SN,NULL,71,120
EDMONDS 10,72131110,SN,NULL,123,191
EDMONDS 13,72131111,SN,NULL,107,195
EDMONDS 17,72131127,SN,NULL,83,140
EDMONDS 22,72131147,SN,NULL,93,151
EDMONDS 23,72131148,SN,NULL,106,228
EDMONDS 28,72131155,SN,NULL,108,155
EDMONDS 29,72131156,SN,NULL,114,174
EDMONDS 30,72131157,SN,NULL,79,132
EDMONDS 31,72131158,SN,NULL,98,175
EDMONDS 32,72131159,SN,NULL,97,146
EDMONDS 33,72131160,SN,NULL,82,142
EDMONDS 34,72131161,SN,NULL,126,153
EDMONDS 35,72131162,SN,NULL,65,148
EDMONDS 36,72131163,SN,NULL,100,140
EDMONDS 37,72131164,SN,NULL,72,178
EDMONDS 21,72131390,SN,NULL,140,203
EDMONDS 24,72131391,SN,NULL,78,117
EDMONDS 26,72131392,SN,NULL,56,138
EDMONDS 38,72131393,SN,NULL,94,200
EDMONDS 39,72131447,SN,NULL,125,219
EDMONDS 46,72131524,SN,NULL,162,284
EDMONDS 51,72131565,SN,NULL,95,156
EDMONDS 11,72131694,SN,NULL,107,186
EDMONDS  6,73231106,SN,NULL,148,200
EDMONDS 14,73231112,SN,NULL,86,102
EDMONDS 15,73231113,SN,NULL,84,119
EDMONDS 16,73231114,SN,NULL,73,119
EDMONDS 18,73231132,SN,NULL,82,160
EDMONDS 19,73231133,SN,NULL,124,160
EDMONDS 25,73231153,SN,NULL,90,154
EDMONDS 27,73231154,SN,NULL,84,124
WOODWAY 1,73231173,SN,NULL,86,171
WOODWAY 2,73231174,SN,NULL,58,98
EDMONDS 12,73231389,SN,NULL,57,102
EDMONDS 40,73231500,SN,NULL,89,161
EDMONDS 41,73231511,SN,NULL,71,122
EDMONDS 42,73231512,SN,NULL,83,109
EDMONDS 43,73231513,SN,NULL,115,177
EDMONDS 44,73231514,SN,NULL,81,157
EDMONDS 45,73231523,SN,NULL,79,145
EDMONDS 47,73231525,SN,NULL,50,87
EDMONDS 48,73231562,SN,NULL,117,127
EDMONDS 49,73231563,SN,NULL,101,125
EDMONDS 50,73231564,SN,NULL,90,92
EDMONDS 52,73231577,SN,NULL,88,132
HOLLY,73234099,SN,NULL,101,148
ROB,73234143,SN,NULL,72,108
SUMMIT,73234149,SN,NULL,99,130
ANN,73234176,SN,NULL,87,115
CHAPEL,73234182,SN,NULL,74,107
