Row Label,PrecinctCode,County,Registered Voters,Mary Yu
Total,-1,GR,NULL,13369
Airport 1 001,1,GR,NULL,184
Beverly 002,2,GR,NULL,20
Block 71 003,3,GR,NULL,355
Cascade Fairgrnd 004,4,GR,NULL,188
Coulee City 005,5,GR,NULL,136
Coulee Cty Rur W 006,6,GR,NULL,65
Electric City 007,7,GR,NULL,233
Ephrata 5 008,8,GR,NULL,204
Ephrata 2 009,9,GR,NULL,229
Ephrata 3 010,10,GR,NULL,173
Ephrata 4 011,11,GR,NULL,305
Ephrata 7 012,12,GR,NULL,230
Ephrata 9 013,13,GR,NULL,366
Ephrata Rural ,14,GR,NULL,164
George 015,15,GR,NULL,30
George Rural 016,16,GR,NULL,344
Gloyd 017,17,GR,NULL,180
Grand Coulee 018,18,GR,NULL,196
Hartline 019,19,GR,NULL,39
Hartline Rural S 020,20,GR,NULL,18
Lakeview Park 021,21,GR,NULL,189
Longview 022,22,GR,NULL,263
Mae 023,23,GR,NULL,571
Marlin 024,24,GR,NULL,15
Marlin Rural 025,25,GR,NULL,25
Mattawa 026,26,GR,NULL,33
Mattawa Rural 027,27,GR,NULL,286
McConihe 1 028,28,GR,NULL,124
Moses Lake 5 029,29,GR,NULL,219
Moses Lake 3 030,30,GR,NULL,334
Moses Lake 4 031,31,GR,NULL,221
Moses Lake 6 032,32,GR,NULL,351
Moses Lake 7 033,33,GR,NULL,293
Moses Lake 8 034,34,GR,NULL,370
Moses Lake 11 035,35,GR,NULL,421
Moses Lake 12 036,36,GR,NULL,273
North Banks Lake 037,37,GR,NULL,45
O Sullivan Dam 1 038,38,GR,NULL,335
Quincy 1 039,39,GR,NULL,205
Quincy 4 040,40,GR,NULL,113
Quincy 6 041,41,GR,NULL,314
Quincy Rural N 042,42,GR,NULL,138
Royal Camp 043,43,GR,NULL,307
Royal City 044,44,GR,NULL,87
Ruff 045,45,GR,NULL,28
Smyrna 1 046,46,GR,NULL,92
Soap Lake 1 047,47,GR,NULL,137
Soap Lake Rur E ,48,GR,NULL,48
Stratford 049,49,GR,NULL,29
Warden 050,50,GR,NULL,137
Warden Rural 051,51,GR,NULL,253
Soap Lake 2 052,52,GR,NULL,122
Westslope 1 053,53,GR,NULL,65
Wheeler 1 054,54,GR,NULL,145
Wilson Creek 055,55,GR,NULL,55
Wilson Crk Rural 056,56,GR,NULL,22
Airport 2 057,57,GR,NULL,149
Cascade Valley 058,58,GR,NULL,400
Westslope 2 059,59,GR,NULL,60
Smyrna 2 060,60,GR,NULL,16
East Wahluke 061,61,GR,NULL,44
Coulee Cty Rur E 062,62,GR,NULL,17
McConihe 2 063,63,GR,NULL,94
Quincy Rural S 064,64,GR,NULL,361
Greenfield 065,65,GR,NULL,41
Moses Lake 1 066,66,GR,NULL,145
Moses Lake 2 067,67,GR,NULL,199
Moses Lake 9  068,68,GR,NULL,218
O Sullivan Dam 2 069,69,GR,NULL,415
Wheeler 2 070,70,GR,NULL,390
Soap Lake Rur W ,71,GR,NULL,236
Coulee Cty Rur N 072,72,GR,NULL,53
Hartline Rural N 073,73,GR,NULL,23
Ephrata Rural E,74,GR,NULL,184
