Row Label,PrecinctCode,County,Registered Voters,Mary Yu
Total,-1,KS,NULL,7561
CLE ELUM 1,1,KS,NULL,110
CLE ELUM 2,2,KS,NULL,72
CLE ELUM 3,3,KS,NULL,34
CLE ELUM 4,4,KS,NULL,171
DENMARK,5,KS,NULL,277
EAST SANDERS,6,KS,NULL,201
EASTON,7,KS,NULL,196
ELLENSBURG 1,8,KS,NULL,37
ELLENSBURG 2,9,KS,NULL,51
ELLENSBURG 4,11,KS,NULL,38
ELLENSBURG 5,12,KS,NULL,51
ELLENSBURG 6,13,KS,NULL,46
ELLENSBURG 7,14,KS,NULL,34
ELLENSBURG 8,15,KS,NULL,57
ELLENSBURG 9,16,KS,NULL,66
ELLENSBURG 10,17,KS,NULL,81
ELLENSBURG 11,18,KS,NULL,85
ELLENSBURG 12,19,KS,NULL,81
ELLENSBURG 13,20,KS,NULL,61
ELLENSBURG 14,21,KS,NULL,99
ELLENSBURG 15,22,KS,NULL,101
ELLENSBURG 16,23,KS,NULL,162
ELLENSBURG 17,24,KS,NULL,147
ELLENSBURG 18,25,KS,NULL,30
ELLENSBURG 19,26,KS,NULL,206
ELLENSBURG 20,27,KS,NULL,54
ELLENSBURG 21,28,KS,NULL,75
ELLENSBURG 22,29,KS,NULL,113
ELLENSBURG 23,30,KS,NULL,146
ELLENSBURG 24,31,KS,NULL,257
HYAK,32,KS,NULL,58
KITTITAS 1,33,KS,NULL,87
MANASTASH,34,KS,NULL,149
MOUNTAIN,35,KS,NULL,79
NORTH CENTRAL,36,KS,NULL,172
NORTH ELLENSBURG,37,KS,NULL,264
PARK,38,KS,NULL,229
PEOH POINT,39,KS,NULL,183
RIDGEWAY,40,KS,NULL,285
ROSLYN 1,41,KS,NULL,110
ROSLYN 2,42,KS,NULL,71
DRY CREEK,43,KS,NULL,241
WESTSIDE,44,KS,NULL,263
ROSLYN OUTLYING,45,KS,NULL,39
SANDERS,46,KS,NULL,87
SOUTH CLE ELUM,47,KS,NULL,123
SOUTH ELLENSBURG,48,KS,NULL,255
SWAUK,50,KS,NULL,120
TEANAWAY,51,KS,NULL,166
THORP,52,KS,NULL,192
VANTAGE,53,KS,NULL,17
FAIRVIEW,54,KS,NULL,133
NORTHEAST FAIRVIEW,55,KS,NULL,216
THRALL,56,KS,NULL,183
DAMMAN,58,KS,NULL,205
KACHESS,59,KS,NULL,62
KITTITAS 2,60,KS,NULL,111
ELLENSBURG 25,61,KS,NULL,234
RONALD,62,KS,NULL,88
