Row Label,PrecinctCode,County,Registered Voters,Mary Yu
Total,-1,PE,NULL,3240
Camden,1,PE,NULL,94
Cusick,2,PE,NULL,81
Dalkena,3,PE,NULL,182
Diamond Lk East,4,PE,NULL,83
Fertile Valley North,5,PE,NULL,107
Furport,6,PE,NULL,161
Ione East,7,PE,NULL,108
Ione West,8,PE,NULL,129
Metaline,9,PE,NULL,56
Metaline Falls,10,PE,NULL,118
Tiger Dry Canyon,11,PE,NULL,214
Newport NE,12,PE,NULL,177
Newport SE,13,PE,NULL,80
Newport NW,14,PE,NULL,153
Newport SW,15,PE,NULL,126
Noble,16,PE,NULL,209
Ruby,17,PE,NULL,19
Sacheen,18,PE,NULL,177
Usk,19,PE,NULL,123
Diamond Lk West,20,PE,NULL,111
Deer Valley North,21,PE,NULL,140
Locke,22,PE,NULL,29
Kalispel Leclerc,23,PE,NULL,105
Skookum,24,PE,NULL,45
Deer Valley South,25,PE,NULL,48
Fertile Valley South,26,PE,NULL,121
Diamond Lk,27,PE,NULL,244
