Row Label,PrecinctCode,County,Registered Voters,Mary Yu
Total,-1,YA,NULL,33769
0001,1,YA,NULL,0
0101,101,YA,NULL,134
0103,103,YA,NULL,132
0104,104,YA,NULL,166
0110,110,YA,NULL,166
0111,111,YA,NULL,180
0113,113,YA,NULL,137
0116,116,YA,NULL,286
0118,118,YA,NULL,115
0120,120,YA,NULL,169
0124,124,YA,NULL,72
0126,126,YA,NULL,123
0127,127,YA,NULL,224
0129,129,YA,NULL,143
0130,130,YA,NULL,171
0131,131,YA,NULL,202
0132,132,YA,NULL,205
0133,133,YA,NULL,414
0134,134,YA,NULL,517
0138,138,YA,NULL,430
0139,139,YA,NULL,365
0140,140,YA,NULL,179
0142,142,YA,NULL,353
0150,150,YA,NULL,164
0153,153,YA,NULL,229
0154,154,YA,NULL,274
0155,155,YA,NULL,300
0156,156,YA,NULL,174
0158,158,YA,NULL,137
0162,162,YA,NULL,182
0163,163,YA,NULL,345
0167,167,YA,NULL,347
0168,168,YA,NULL,343
0169,169,YA,NULL,381
0170,170,YA,NULL,231
0173,173,YA,NULL,222
0175,175,YA,NULL,168
0177,177,YA,NULL,384
0179,179,YA,NULL,343
0180,180,YA,NULL,189
0181,181,YA,NULL,361
0182,182,YA,NULL,505
0183,183,YA,NULL,274
0184,184,YA,NULL,266
0185,185,YA,NULL,329
0186,186,YA,NULL,430
0187,187,YA,NULL,286
0188,188,YA,NULL,387
0189,189,YA,NULL,218
0190,190,YA,NULL,178
0301,301,YA,NULL,58
0302,302,YA,NULL,188
0303,303,YA,NULL,179
0304,304,YA,NULL,93
0305,305,YA,NULL,9
0306,306,YA,NULL,254
0307,307,YA,NULL,16
0308,308,YA,NULL,0
0501,501,YA,NULL,200
0701,701,YA,NULL,69
0901,901,YA,NULL,112
1101,1101,YA,NULL,220
1103,1103,YA,NULL,231
1301,1301,YA,NULL,138
1501,1501,YA,NULL,221
1502,1502,YA,NULL,306
1503,1503,YA,NULL,272
1504,1504,YA,NULL,321
1701,1701,YA,NULL,201
1702,1702,YA,NULL,18
1703,1703,YA,NULL,184
1704,1704,YA,NULL,0
1705,1705,YA,NULL,312
1706,1706,YA,NULL,249
1708,1708,YA,NULL,176
1901,1901,YA,NULL,102
2101,2101,YA,NULL,306
2103,2103,YA,NULL,245
2301,2301,YA,NULL,188
2303,2303,YA,NULL,195
2306,2306,YA,NULL,271
2501,2501,YA,NULL,228
2701,2701,YA,NULL,531
3002,3002,YA,NULL,76
3004,3004,YA,NULL,10
3101,3101,YA,NULL,428
3102,3102,YA,NULL,213
3103,3103,YA,NULL,143
3104,3104,YA,NULL,234
3105,3105,YA,NULL,31
3106,3106,YA,NULL,266
3203,3203,YA,NULL,334
3204,3204,YA,NULL,33
3205,3205,YA,NULL,362
3206,3206,YA,NULL,328
3208,3208,YA,NULL,33
3301,3301,YA,NULL,205
3303,3303,YA,NULL,116
3304,3304,YA,NULL,285
3305,3305,YA,NULL,223
3306,3306,YA,NULL,142
3308,3308,YA,NULL,259
3309,3309,YA,NULL,193
3310,3310,YA,NULL,215
3311,3311,YA,NULL,493
3313,3313,YA,NULL,89
3401,3401,YA,NULL,110
3504,3504,YA,NULL,12
3601,3601,YA,NULL,32
3602,3602,YA,NULL,412
3605,3605,YA,NULL,454
3701,3701,YA,NULL,191
3901,3901,YA,NULL,310
3902,3902,YA,NULL,120
3903,3903,YA,NULL,532
3904,3904,YA,NULL,94
3905,3905,YA,NULL,79
4001,4001,YA,NULL,85
4002,4002,YA,NULL,98
4003,4003,YA,NULL,357
4005,4005,YA,NULL,182
4101,4101,YA,NULL,109
4102,4102,YA,NULL,244
4104,4104,YA,NULL,191
4105,4105,YA,NULL,134
4106,4106,YA,NULL,242
4108,4108,YA,NULL,164
4109,4109,YA,NULL,385
4111,4111,YA,NULL,320
4112,4112,YA,NULL,389
4114,4114,YA,NULL,87
4115,4115,YA,NULL,131
4303,4303,YA,NULL,100
4401,4401,YA,NULL,148
4402,4402,YA,NULL,166
4501,4501,YA,NULL,71
4503,4503,YA,NULL,30
4504,4504,YA,NULL,237
4601,4601,YA,NULL,120
4602,4602,YA,NULL,133
4603,4603,YA,NULL,309
4604,4604,YA,NULL,124
4605,4605,YA,NULL,2
4606,4606,YA,NULL,290
4608,4608,YA,NULL,97
4609,4609,YA,NULL,111
4615,4615,YA,NULL,238
4616,4616,YA,NULL,106
4618,4618,YA,NULL,183
4623,4623,YA,NULL,24
4624,4624,YA,NULL,145
4625,4625,YA,NULL,10
4626,4626,YA,NULL,13
4627,4627,YA,NULL,85
4628,4628,YA,NULL,88
4801,4801,YA,NULL,438
4802,4802,YA,NULL,425
5001,5001,YA,NULL,71
5003,5003,YA,NULL,253
5010,5010,YA,NULL,80
5012,5012,YA,NULL,221
5014,5014,YA,NULL,250
5016,5016,YA,NULL,117
5020,5020,YA,NULL,165
5101,5101,YA,NULL,121
5202,5202,YA,NULL,0
