Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,KS,NULL,7482
CLE ELUM 1,1,KS,NULL,106
CLE ELUM 2,2,KS,NULL,76
CLE ELUM 3,3,KS,NULL,34
CLE ELUM 4,4,KS,NULL,172
DENMARK,5,KS,NULL,270
EAST SANDERS,6,KS,NULL,203
EASTON,7,KS,NULL,205
ELLENSBURG 1,8,KS,NULL,36
ELLENSBURG 2,9,KS,NULL,51
ELLENSBURG 4,11,KS,NULL,35
ELLENSBURG 5,12,KS,NULL,52
ELLENSBURG 6,13,KS,NULL,46
ELLENSBURG 7,14,KS,NULL,34
ELLENSBURG 8,15,KS,NULL,59
ELLENSBURG 9,16,KS,NULL,64
ELLENSBURG 10,17,KS,NULL,79
ELLENSBURG 11,18,KS,NULL,82
ELLENSBURG 12,19,KS,NULL,81
ELLENSBURG 13,20,KS,NULL,59
ELLENSBURG 14,21,KS,NULL,98
ELLENSBURG 15,22,KS,NULL,102
ELLENSBURG 16,23,KS,NULL,159
ELLENSBURG 17,24,KS,NULL,141
ELLENSBURG 18,25,KS,NULL,30
ELLENSBURG 19,26,KS,NULL,202
ELLENSBURG 20,27,KS,NULL,54
ELLENSBURG 21,28,KS,NULL,75
ELLENSBURG 22,29,KS,NULL,108
ELLENSBURG 23,30,KS,NULL,142
ELLENSBURG 24,31,KS,NULL,254
HYAK,32,KS,NULL,61
KITTITAS 1,33,KS,NULL,87
MANASTASH,34,KS,NULL,145
MOUNTAIN,35,KS,NULL,81
NORTH CENTRAL,36,KS,NULL,162
NORTH ELLENSBURG,37,KS,NULL,265
PARK,38,KS,NULL,230
PEOH POINT,39,KS,NULL,171
RIDGEWAY,40,KS,NULL,283
ROSLYN 1,41,KS,NULL,104
ROSLYN 2,42,KS,NULL,73
DRY CREEK,43,KS,NULL,238
WESTSIDE,44,KS,NULL,255
ROSLYN OUTLYING,45,KS,NULL,37
SANDERS,46,KS,NULL,85
SOUTH CLE ELUM,47,KS,NULL,118
SOUTH ELLENSBURG,48,KS,NULL,254
SWAUK,50,KS,NULL,118
TEANAWAY,51,KS,NULL,168
THORP,52,KS,NULL,193
VANTAGE,53,KS,NULL,16
FAIRVIEW,54,KS,NULL,130
NORTHEAST FAIRVIEW,55,KS,NULL,222
THRALL,56,KS,NULL,180
DAMMAN,58,KS,NULL,206
KACHESS,59,KS,NULL,61
KITTITAS 2,60,KS,NULL,109
ELLENSBURG 25,61,KS,NULL,233
RONALD,62,KS,NULL,88
