Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,OK,NULL,7057
ALMA,1,OK,NULL,26
ANGLIN,2,OK,NULL,49
BEEMAN,3,OK,NULL,44
BODIE,4,OK,NULL,10
BONAPARTE,5,OK,NULL,18
BOSTON,6,OK,NULL,54
BREWSTER RURAL,7,OK,NULL,37
CARLTON,8,OK,NULL,29
CHESAW,9,OK,NULL,24
CONCONULLY RURAL,10,OK,NULL,27
DUCK LAKE,11,OK,NULL,18
DULEY LAKE,12,OK,NULL,23
EASTLAKE,13,OK,NULL,22
EASTSIDE,14,OK,NULL,49
ELLISFORDE,15,OK,NULL,43
ELMERTON,16,OK,NULL,65
ELMWAY,17,OK,NULL,25
HAVILLAH,18,OK,NULL,43
LOOMIS,19,OK,NULL,29
MALOTT,20,OK,NULL,53
MAZAMA,21,OK,NULL,61
METHOW,22,OK,NULL,45
MISSION,23,OK,NULL,18
MOLSON,24,OK,NULL,45
MONSE #1,25,OK,NULL,41
NESPELEM RURAL,27,OK,NULL,22
NIGHTHAWK,28,OK,NULL,13
NORTH OMAK,29,OK,NULL,19
PATEROS RURAL,30,OK,NULL,28
PINE CREEK,31,OK,NULL,22
POGUE,32,OK,NULL,44
RIVERSIDE RURAL,33,OK,NULL,57
SAN POIL,34,OK,NULL,52
SOUTH OROVILLE,35,OK,NULL,44
SPRING COULEE,36,OK,NULL,36
TONASKET RURAL,37,OK,NULL,23
TUNK CREEK,38,OK,NULL,54
TWISP RURAL,39,OK,NULL,44
WOLF CREEK,40,OK,NULL,47
WAUCONDA,41,OK,NULL,33
WESTLAKE,42,OK,NULL,21
WHITESTONE,43,OK,NULL,16
WINTHROP RURAL,44,OK,NULL,66
CHILIWIST,45,OK,NULL,30
MONSE #3,46,OK,NULL,23
OKANOGAN RURAL,47,OK,NULL,22
AENEAS,48,OK,NULL,29
COLUMBIA,49,OK,NULL,20
CRUMBACHER,50,OK,NULL,40
DISAUTEL,51,OK,NULL,17
HUDSON,52,OK,NULL,17
KIPLING,53,OK,NULL,17
ORCHARD,54,OK,NULL,22
TORODA,55,OK,NULL,44
BEAVER CREEK,56,OK,NULL,25
BLACK CANYON,57,OK,NULL,27
BUFFALO LAKE,58,OK,NULL,20
COPPLE,59,OK,NULL,30
EDELWEISS,60,OK,NULL,53
ENGH,61,OK,NULL,44
FINLEY CANYON,62,OK,NULL,46
JANIS,63,OK,NULL,24
LEESE,64,OK,NULL,13
LIBBY CREEK,65,OK,NULL,48
MCGINNIS LAKE,66,OK,NULL,10
NORTH STAR,67,OK,NULL,11
OWHI,68,OK,NULL,22
PALMER LAKE,69,OK,NULL,35
PINE CONE,70,OK,NULL,21
POORMAN CREEK,71,OK,NULL,60
SAND FLAT,72,OK,NULL,48
SOURDOUGH,74,OK,NULL,45
TWIN LAKES,75,OK,NULL,59
VALLEY,76,OK,NULL,33
WANNACUT,77,OK,NULL,49
WEST CHEWUCH,78,OK,NULL,48
CANAL,79,OK,NULL,30
AIRPORT,81,OK,NULL,46
BALKY HILL,82,OK,NULL,32
