Row Label,PrecinctCode,County,Registered Voters,Mary E. Fairhurst
Total,-1,SK,NULL,24511
ALDER,101,SK,NULL,143
ALGER,102,SK,NULL,178
ALLEN,103,SK,NULL,93
DUNBAR,104,SK,NULL,47
AVON,105,SK,NULL,253
SAUK,107,SK,NULL,295
BAY VIEW,108,SK,NULL,228
BELFAST,109,SK,NULL,138
BIG LAKE,110,SK,NULL,315
BIRDSVIEW,111,SK,NULL,298
BOW,113,SK,NULL,356
CASCADE,114,SK,NULL,55
CEDARDALE,115,SK,NULL,84
CLEAR LAKE,116,SK,NULL,258
COUNTRY CLUB,117,SK,NULL,107
CONWAY,118,SK,NULL,107
DEWEY,119,SK,NULL,443
DIGBY,120,SK,NULL,25
DODGE VALLEY,121,SK,NULL,131
EDISON,122,SK,NULL,150
FIR,124,SK,NULL,110
FRUITDALE,125,SK,NULL,127
GEAR,126,SK,NULL,268
GUEMES,127,SK,NULL,247
HAMBURG,128,SK,NULL,130
HARMONY,129,SK,NULL,151
LAKE SIXTEEN,130,SK,NULL,135
LOOKOUT,132,SK,NULL,311
MANSFORD,133,SK,NULL,38
MAPES,134,SK,NULL,109
MARCH POINT,135,SK,NULL,17
MCMURRAY WEST,136,SK,NULL,135
MCRAE,137,SK,NULL,381
MCMURRAY EAST,138,SK,NULL,53
MINKLER,139,SK,NULL,169
MONTBORNE,140,SK,NULL,361
NOOKACHAMPS,141,SK,NULL,145
SKYRIDGE,144,SK,NULL,219
PRAIRIE,145,SK,NULL,269
POINT WILLIAMS,146,SK,NULL,203
RIDGEWAY,147,SK,NULL,189
ROCKPORT,148,SK,NULL,237
SHELTER BAY,149,SK,NULL,302
SNEE OOSH,150,SK,NULL,219
STERLING,151,SK,NULL,79
SWINOMISH,153,SK,NULL,318
TINGLEY,154,SK,NULL,143
VAN FLEET,155,SK,NULL,226
VEDERE,156,SK,NULL,195
WHITNEY,157,SK,NULL,112
ROSARIO,158,SK,NULL,374
TERRACE,159,SK,NULL,422
STARBIRD,160,SK,NULL,205
FIDALGO,164,SK,NULL,316
GAGES,165,SK,NULL,68
SAMISH,166,SK,NULL,190
COLLINS,167,SK,NULL,145
BLANCHARD,168,SK,NULL,258
VIEW TERRACE,170,SK,NULL,2
LAKE CAVANAUGH,171,SK,NULL,64
LITTLE MOUNTAIN,172,SK,NULL,113
RIVERBEND,173,SK,NULL,15
PADILLA,174,SK,NULL,56
FREDONIA,176,SK,NULL,56
ANACORTES  1,201,SK,NULL,231
ANACORTES  4,204,SK,NULL,206
ANACORTES 5,205,SK,NULL,9
ANACORTES  6,206,SK,NULL,244
ANACORTES  7,207,SK,NULL,527
ANACORTES  9,209,SK,NULL,287
ANACORTES 11,211,SK,NULL,397
ANACORTES 17,217,SK,NULL,502
ANACORTES 20,220,SK,NULL,432
ANACORTES 21,221,SK,NULL,556
ANACORTES 22,222,SK,NULL,400
ANACORTES 24,224,SK,NULL,561
MOUNT VERNON  1,301,SK,NULL,112
MOUNT VERNON  2,302,SK,NULL,127
MOUNT VERNON  3,303,SK,NULL,261
MOUNT VERNON  4,304,SK,NULL,399
MOUNT VERNON  5,305,SK,NULL,80
MOUNT VERNON  6,306,SK,NULL,233
MOUNT VERNON  7,307,SK,NULL,293
MOUNT VERNON  8,308,SK,NULL,494
MOUNT VERNON  9,309,SK,NULL,140
MOUNT VERNON 10,310,SK,NULL,161
MOUNT VERNON 11,311,SK,NULL,248
MOUNT VERNON 12,312,SK,NULL,125
MOUNT VERNON 14,314,SK,NULL,384
MOUNT VERNON 15,315,SK,NULL,186
MOUNT VERNON 16,316,SK,NULL,347
MOUNT VERNON 19,319,SK,NULL,304
MOUNT VERNON 21,321,SK,NULL,469
MOUNT VERNON 22,322,SK,NULL,445
MOUNT VERNON 27,327,SK,NULL,93
MOUNT VERNON 30,330,SK,NULL,328
SEDRO WOOLLEY  1,401,SK,NULL,271
SEDRO WOOLLEY  2,402,SK,NULL,297
SEDRO WOOLLEY  3,403,SK,NULL,220
SEDRO WOOLLEY  4,404,SK,NULL,283
SEDRO WOOLLEY  5,405,SK,NULL,366
SEDRO WOOLLEY  6,406,SK,NULL,280
SEDRO WOOLLEY  7,407,SK,NULL,7
BURLINGTON 1,501,SK,NULL,137
BURLINGTON 2,502,SK,NULL,149
BURLINGTON 3,503,SK,NULL,77
BURLINGTON 4,504,SK,NULL,219
BURLINGTON 5,505,SK,NULL,266
BURLINGTON 6,506,SK,NULL,144
BURLINGTON 7,507,SK,NULL,150
CONCRETE,601,SK,NULL,102
HAMILTON,701,SK,NULL,44
LA CONNER,801,SK,NULL,277
LYMAN,855,SK,NULL,55
