Row Label,PrecinctCode,County,Registered Voters,Eddie Yoon,Charles W. Johnson
Total,-1,BE,NULL,11343,30752
Hanford 4,96,BE,NULL,0,0
Hanford 3,97,BE,NULL,0,0
Hanford 2,98,BE,NULL,0,0
Hanford 1,99,BE,NULL,0,0
450,450,BE,NULL,80,186
455,455,BE,NULL,64,152
460,460,BE,NULL,58,149
465,465,BE,NULL,61,187
470,470,BE,NULL,56,138
Carley(*),1020,BE,NULL,0,0
Onion(*),1021,BE,NULL,0,0
Crow Butte,1022,BE,NULL,7,14
Horse Heaven,1023,BE,NULL,7,25
Columbia(*),1060,BE,NULL,0,0
Black Rock(*),1061,BE,NULL,0,0
Expansion(*),1090,BE,NULL,0,0
Salmon,1091,BE,NULL,7,38
Paterson,1240,BE,NULL,2,15
Roe,1241,BE,NULL,4,12
Rattlesnake,1290,BE,NULL,9,40
Ida,1291,BE,NULL,0,0
Ridge,1292,BE,NULL,0,0
Reese,1360,BE,NULL,3,34
Pearson,1362,BE,NULL,2,3
Sacagawea(*),1363,BE,NULL,0,0
Wheat,1364,BE,NULL,0,0
Tumble Weed,1365,BE,NULL,12,37
Cook,1400,BE,NULL,5,10
Dot,1402,BE,NULL,37,88
McBee(*),1403,BE,NULL,0,0
Weidle,1404,BE,NULL,14,24
Reata,1406,BE,NULL,58,145
Elk,1407,BE,NULL,0,0
Griffin,1408,BE,NULL,2,4
Goose Ridge,1409,BE,NULL,16,48
Cone,1412,BE,NULL,31,119
Vineyard(*),1413,BE,NULL,0,0
Sunny,1414,BE,NULL,19,43
Badger,1420,BE,NULL,52,146
Chandler,1422,BE,NULL,12,19
W1 - P645,1645,BE,NULL,23,37
W1 - P646,1646,BE,NULL,27,55
W1 - P650,1650,BE,NULL,78,207
W1 - P651,1651,BE,NULL,22,34
W1 - P655,1655,BE,NULL,31,117
W1 - P656,1656,BE,NULL,39,80
W1 - P657,1657,BE,NULL,39,155
W1 - P660,1660,BE,NULL,70,170
W1-P663,1663,BE,NULL,51,155
W1 - P664,1664,BE,NULL,102,275
W1 - P665,1665,BE,NULL,76,224
W1 - P667,1667,BE,NULL,37,86
W1 - P668,1668,BE,NULL,120,269
W1 - P669,1669,BE,NULL,39,116
W1 - P670,1670,BE,NULL,67,159
W1 - P674,1674,BE,NULL,49,127
W1 - P675,1675,BE,NULL,25,88
W1 - P676,1676,BE,NULL,67,262
W1 - P680,1680,BE,NULL,89,221
W1 - P681,1681,BE,NULL,76,150
W1 - P682,1682,BE,NULL,104,260
W1 - P683,1683,BE,NULL,47,179
W1 - P685,1685,BE,NULL,73,238
W1 - P686,1686,BE,NULL,62,193
W1 - P690,1690,BE,NULL,83,244
W1 - P691,1691,BE,NULL,13,27
Buena Vista,2401,BE,NULL,84,286
Prosser North,2403,BE,NULL,63,183
South,2404,BE,NULL,49,143
Riverside,2405,BE,NULL,75,183
Walnut Grove,2406,BE,NULL,50,112
Susie,2407,BE,NULL,4,20
Apricot,2408,BE,NULL,17,40
Bobbie,2409,BE,NULL,0,0
W2 - P560,2560,BE,NULL,41,99
W2 - P565,2565,BE,NULL,28,80
W2 - P570,2570,BE,NULL,53,159
W2-P574,2574,BE,NULL,37,102
W2 - P575,2575,BE,NULL,28,76
W2 - P580,2580,BE,NULL,48,116
W2 - P585,2585,BE,NULL,32,96
W2 - P590,2590,BE,NULL,44,133
W2 - P595,2595,BE,NULL,52,132
W2 - P600,2600,BE,NULL,29,101
W2 - P601,2601,BE,NULL,23,101
W2 - P605,2605,BE,NULL,57,131
W2 - P610,2610,BE,NULL,44,112
W2 - P615,2615,BE,NULL,22,50
W2 - P620,2620,BE,NULL,41,127
W2 - P625,2625,BE,NULL,66,193
W2 - P626,2626,BE,NULL,46,98
W2 - P630,2630,BE,NULL,65,173
W2 - P633,2633,BE,NULL,46,206
W2 - P634,2634,BE,NULL,58,277
W2 - P635,2635,BE,NULL,77,215
W2 - P636,2636,BE,NULL,78,163
W2 - P637,2637,BE,NULL,72,201
W2 - P638,2638,BE,NULL,87,184
W2 - P639,2639,BE,NULL,51,105
W2 - P640,2640,BE,NULL,60,163
W2 - P641,2641,BE,NULL,37,117
Benton North,3001,BE,NULL,88,226
Benton South,3002,BE,NULL,66,154
Benton East,3003,BE,NULL,0,0
Legion,3101,BE,NULL,59,172
Kiona,3102,BE,NULL,102,285
Roza,3103,BE,NULL,0,0
Yakima,3104,BE,NULL,3,2
Demoss,3105,BE,NULL,3,13
Edgewater,3106,BE,NULL,53,145
Cherry,3107,BE,NULL,82,196
W3 - P500,3500,BE,NULL,25,22
W3 - P505,3505,BE,NULL,49,133
W3 - P510,3510,BE,NULL,25,97
W3-P511,3511,BE,NULL,4,16
W3 - P515,3515,BE,NULL,41,99
W3-P516,3516,BE,NULL,4,7
W3 - P520,3520,BE,NULL,29,66
W3 - P525,3525,BE,NULL,35,124
W3 - P530,3530,BE,NULL,48,102
W3 - P535,3535,BE,NULL,25,76
W3 - P540,3540,BE,NULL,55,183
W3 - P545,3545,BE,NULL,31,100
W3 - P550,3550,BE,NULL,79,173
W3 - P551,3551,BE,NULL,49,176
W3 - P552,3552,BE,NULL,59,181
W3 - P553,3553,BE,NULL,79,143
W3 - P555,3555,BE,NULL,54,147
W3 - P556,3556,BE,NULL,97,229
W3 - P557,3557,BE,NULL,65,220
W3 - P558,3558,BE,NULL,80,251
W3 - P559,3559,BE,NULL,82,219
W3 - P560,3560,BE,NULL,32,89
WR 1,4001,BE,NULL,30,108
WR 2,4002,BE,NULL,45,113
WR 3,4003,BE,NULL,32,98
WR 4,4004,BE,NULL,99,251
WR 5,4005,BE,NULL,23,75
WR 6,4006,BE,NULL,98,232
WR 7,4007,BE,NULL,70,212
WR 8,4008,BE,NULL,86,251
WR 9,4009,BE,NULL,67,133
WR 10,4010,BE,NULL,15,9
WR 11,4011,BE,NULL,68,166
WR12,4012,BE,NULL,90,217
WR13,4013,BE,NULL,66,138
WR14,4014,BE,NULL,97,256
WR15,4015,BE,NULL,56,165
WR 16,4016,BE,NULL,45,131
WR 17,4017,BE,NULL,59,127
Enterprise,4101,BE,NULL,57,122
Harrington,4102,BE,NULL,104,201
Red Mountain,4103,BE,NULL,79,141
Cascade,5602,BE,NULL,44,160
Clements,5603,BE,NULL,10,42
Finley,5606,BE,NULL,90,266
Hawthorne,5608,BE,NULL,46,110
Hedges,5609,BE,NULL,62,131
Jewel,5613,BE,NULL,10,25
Kennewick Valley,5615,BE,NULL,40,193
Umatilla,5619,BE,NULL,34,79
Vista,5621,BE,NULL,38,77
Washington,5622,BE,NULL,28,65
Yellowstone,5623,BE,NULL,39,91
Oak,5624,BE,NULL,29,93
Celilo,5625,BE,NULL,87,203
Randy,5626,BE,NULL,24,78
El Rancho,5627,BE,NULL,99,291
Mills,5628,BE,NULL,80,227
Ivey,5629,BE,NULL,56,122
Canyon,5630,BE,NULL,59,179
Miller(*),5631,BE,NULL,0,0
Candy(*),5632,BE,NULL,0,0
French,5633,BE,NULL,7,25
Shockley(*),5634,BE,NULL,0,0
Liberty,5635,BE,NULL,2,8
Gage(*),5636,BE,NULL,0,0
Orchard,5637,BE,NULL,4,9
White Bluffs,5638,BE,NULL,84,246
(none),5639,BE,NULL,58,164
105,6105,BE,NULL,39,120
110,6110,BE,NULL,57,152
115,6115,BE,NULL,52,131
120,6120,BE,NULL,63,194
125,6125,BE,NULL,38,132
130,6130,BE,NULL,68,163
135,6135,BE,NULL,48,152
140,6140,BE,NULL,53,144
145,6145,BE,NULL,83,250
150,6150,BE,NULL,70,227
151,6151,BE,NULL,127,299
155,6155,BE,NULL,76,261
160,6160,BE,NULL,83,218
165,6165,BE,NULL,50,125
170,6170,BE,NULL,69,120
175,6175,BE,NULL,98,287
180,6180,BE,NULL,44,84
185,6185,BE,NULL,35,74
186,6186,BE,NULL,29,62
190,6190,BE,NULL,72,175
195,6195,BE,NULL,46,147
200,6200,BE,NULL,43,148
205,6205,BE,NULL,49,105
210,6210,BE,NULL,38,129
215,6215,BE,NULL,44,131
220,6220,BE,NULL,40,108
225,6225,BE,NULL,56,144
230,6230,BE,NULL,44,115
235,6235,BE,NULL,45,113
240,6240,BE,NULL,79,240
245,6245,BE,NULL,49,130
250,6250,BE,NULL,77,155
255,6255,BE,NULL,64,155
260,6260,BE,NULL,60,119
265,6265,BE,NULL,71,135
270,6270,BE,NULL,66,193
271,6271,BE,NULL,32,90
275,6275,BE,NULL,35,74
278,6278,BE,NULL,86,190
279,6279,BE,NULL,30,78
280,6280,BE,NULL,76,223
281,6281,BE,NULL,79,268
282,6282,BE,NULL,79,279
283,6283,BE,NULL,53,139
284,6284,BE,NULL,49,166
285,6285,BE,NULL,95,283
286,6286,BE,NULL,54,123
287,6287,BE,NULL,46,113
288,6288,BE,NULL,56,158
289,6289,BE,NULL,113,265
290,6290,BE,NULL,70,186
291,6291,BE,NULL,93,198
292,6292,BE,NULL,43,138
293,6293,BE,NULL,39,98
295,6295,BE,NULL,52,180
300,6300,BE,NULL,60,174
301,6301,BE,NULL,48,180
305,6305,BE,NULL,63,183
310,6310,BE,NULL,81,191
311,6311,BE,NULL,0,0
315,6315,BE,NULL,87,288
316,6316,BE,NULL,0,0
320,6320,BE,NULL,81,272
