Row Label,PrecinctCode,County,Registered Voters,Eddie Yoon,Charles W. Johnson
Total,-1,GA,NULL,228,622
GROUSE-VOTE BY MAIL(*),101,GA,NULL,0,0
MAYVIEW-VOTE BY MAIL(*),102,GA,NULL,0,0
PATAHA,103,GA,NULL,31,96
PEOLA-VOTE BY MAIL(*),104,GA,NULL,0,0
PING - VOTE BY MAIL,105,GA,NULL,6,8
PLEASANT-VB MAIL,106,GA,NULL,10,27
SCOGGIN - VB MAIL,109,GA,NULL,23,57
TUCANNON - VB MAIL,110,GA,NULL,10,34
WARD 1,201,GA,NULL,23,54
WARD 2,202,GA,NULL,40,110
WARD 3,203,GA,NULL,53,114
WARD 4,204,GA,NULL,17,96
