Row Label,PrecinctCode,County,Registered Voters,Eddie Yoon,Charles W. Johnson
Total,-1,KS,NULL,2362,6752
CLE ELUM 1,1,KS,NULL,41,100
CLE ELUM 2,2,KS,NULL,16,67
CLE ELUM 3,3,KS,NULL,12,34
CLE ELUM 4,4,KS,NULL,45,154
DENMARK,5,KS,NULL,107,247
EAST SANDERS,6,KS,NULL,58,193
EASTON,7,KS,NULL,51,201
ELLENSBURG 1,8,KS,NULL,17,28
ELLENSBURG 2,9,KS,NULL,21,47
ELLENSBURG 4,11,KS,NULL,14,24
ELLENSBURG 5,12,KS,NULL,28,41
ELLENSBURG 6,13,KS,NULL,18,38
ELLENSBURG 7,14,KS,NULL,12,30
ELLENSBURG 8,15,KS,NULL,23,43
ELLENSBURG 9,16,KS,NULL,26,48
ELLENSBURG 10,17,KS,NULL,26,76
ELLENSBURG 11,18,KS,NULL,29,68
ELLENSBURG 12,19,KS,NULL,24,65
ELLENSBURG 13,20,KS,NULL,22,55
ELLENSBURG 14,21,KS,NULL,25,77
ELLENSBURG 15,22,KS,NULL,24,96
ELLENSBURG 16,23,KS,NULL,57,142
ELLENSBURG 17,24,KS,NULL,62,99
ELLENSBURG 18,25,KS,NULL,14,15
ELLENSBURG 19,26,KS,NULL,69,176
ELLENSBURG 20,27,KS,NULL,21,47
ELLENSBURG 21,28,KS,NULL,27,66
ELLENSBURG 22,29,KS,NULL,35,104
ELLENSBURG 23,30,KS,NULL,52,115
ELLENSBURG 24,31,KS,NULL,78,213
HYAK,32,KS,NULL,21,52
KITTITAS 1,33,KS,NULL,25,77
MANASTASH,34,KS,NULL,43,147
MOUNTAIN,35,KS,NULL,20,78
NORTH CENTRAL,36,KS,NULL,71,132
NORTH ELLENSBURG,37,KS,NULL,90,232
PARK,38,KS,NULL,72,199
PEOH POINT,39,KS,NULL,58,171
RIDGEWAY,40,KS,NULL,81,270
ROSLYN 1,41,KS,NULL,36,96
ROSLYN 2,42,KS,NULL,34,78
DRY CREEK,43,KS,NULL,73,231
WESTSIDE,44,KS,NULL,83,214
ROSLYN OUTLYING,45,KS,NULL,6,39
SANDERS,46,KS,NULL,17,81
SOUTH CLE ELUM,47,KS,NULL,31,117
SOUTH ELLENSBURG,48,KS,NULL,75,224
SWAUK,50,KS,NULL,39,114
TEANAWAY,51,KS,NULL,40,170
THORP,52,KS,NULL,57,173
VANTAGE,53,KS,NULL,4,16
FAIRVIEW,54,KS,NULL,38,119
NORTHEAST FAIRVIEW,55,KS,NULL,58,213
THRALL,56,KS,NULL,44,170
DAMMAN,58,KS,NULL,48,200
KACHESS,59,KS,NULL,22,58
KITTITAS 2,60,KS,NULL,24,100
ELLENSBURG 25,61,KS,NULL,77,183
RONALD,62,KS,NULL,21,89
