Row Label,PrecinctCode,County,Registered Voters,Eddie Yoon,Charles W. Johnson
Total,-1,LI,NULL,899,2513
ALMIRA RURAL,1,LI,NULL,6,15
BLUESTEM,2,LI,NULL,4,7
CANBY,3,LI,NULL,7,25
CRESTON RURAL,4,LI,NULL,11,32
WHEATLAND,5,LI,NULL,14,49
DAVENPORT RURAL,6,LI,NULL,21,50
DOWNS,7,LI,NULL,5,14
EARL,8,LI,NULL,9,14
EDWALL,9,LI,NULL,4,41
EGYPT(*),10,LI,NULL,0,0
ENOS(*),11,LI,NULL,0,0
GOVAN,12,LI,NULL,3,13
GRAND COULEE,13,LI,NULL,6,19
GRAVELLE,14,LI,NULL,6,28
HARR RURAL,15,LI,NULL,9,26
HAWK CREEK,16,LI,NULL,20,45
IRBY,17,LI,NULL,4,15
KELLER,18,LI,NULL,18,32
LAKEVIEW,19,LI,NULL,27,76
LAMONA,20,LI,NULL,7,14
EAST LARENE,21,LI,NULL,19,47
WEST LARENE,22,LI,NULL,17,24
LAYTON,23,LI,NULL,4,6
LONG LAKE,24,LI,NULL,21,38
MOHLER,25,LI,NULL,4,18
MONDOVI,26,LI,NULL,22,42
ODESSA RURAL,27,LI,NULL,22,38
PEACH,28,LI,NULL,26,81
N REARDAN RURAL,29,LI,NULL,3,33
S REARDAN RURAL,30,LI,NULL,11,26
RIVERVIEW,31,LI,NULL,41,91
SEVEN BAYS,32,LI,NULL,19,30
SHERMAN,33,LI,NULL,10,34
SPRAGUE RURAL,34,LI,NULL,18,68
SPRING CREEK,35,LI,NULL,17,51
WILBUR RURAL,36,LI,NULL,23,47
WAUKON,37,LI,NULL,8,32
WILSON CREEK,38,LI,NULL,4,18
ALMIRA IN,39,LI,NULL,26,55
CRESTON IN,40,LI,NULL,12,53
DAVENPORT IN,41,LI,NULL,111,359
HARRINGTON IN,42,LI,NULL,20,85
ODESSA IN,43,LI,NULL,77,211
REARDAN IN,44,LI,NULL,36,149
SPRAGUE IN,45,LI,NULL,37,74
WILBUR IN,46,LI,NULL,80,210
