Row Label,PrecinctCode,County,Registered Voters,Eddie Yoon,Charles W. Johnson
Total,-1,SJ,NULL,1819,4268
San Juan South East,11,SJ,NULL,71,196
San Juan South West,12,SJ,NULL,128,288
San Juan Central,13,SJ,NULL,126,255
San Juan West,14,SJ,NULL,116,275
San Juan North,15,SJ,NULL,99,237
San Juan East,16,SJ,NULL,82,219
Turn Point,17,SJ,NULL,58,135
Waldron &amp; Outer Is,21,SJ,NULL,19,31
Orcas West,22,SJ,NULL,151,327
Orcas Central,23,SJ,NULL,147,326
Eastsound,24,SJ,NULL,169,351
Orcas East,25,SJ,NULL,127,303
Blakely &amp; Outer Is,26,SJ,NULL,3,19
Lopez North,31,SJ,NULL,180,442
Lopez South,32,SJ,NULL,104,368
Decatur and Outer Is,33,SJ,NULL,8,21
Shaw,41,SJ,NULL,26,55
Friday Harbor North,101,SJ,NULL,133,226
Friday Harbor South,102,SJ,NULL,72,194
