Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,CZ,NULL,17645,7254
Alabama,1,CZ,NULL,161,94
Ammons,2,CZ,NULL,195,82
Arkansas,3,CZ,NULL,115,57
Bakers,4,CZ,NULL,10,9
Baltimore,5,CZ,NULL,278,91
Beacon,6,CZ,NULL,338,169
Boondox,7,CZ,NULL,10,4
Brynion,8,CZ,NULL,207,92
Burcham,9,CZ,NULL,492,145
Caples,10,CZ,NULL,129,36
Carrolls,11,CZ,NULL,272,136
Castle Rock,12,CZ,NULL,334,158
Chinook,13,CZ,NULL,310,134
Cloverdale,14,CZ,NULL,229,83
Coal Creek,15,CZ,NULL,371,151
Columbia Heights,16,CZ,NULL,166,64
Columbia Valley Gdns,17,CZ,NULL,205,83
Crawford,18,CZ,NULL,254,111
Delameter,19,CZ,NULL,234,100
Douglas(*),20,CZ,NULL,0,0
Elk Ridge(*),21,CZ,NULL,0,0
Harris,22,CZ,NULL,241,118
Haussler,23,CZ,NULL,177,76
Hillcrest,24,CZ,NULL,476,167
Hudson,25,CZ,NULL,296,111
Industrial,26,CZ,NULL,0,0
Kalama North,27,CZ,NULL,258,54
Kalama South,28,CZ,NULL,274,131
Kessler,29,CZ,NULL,353,117
Lake,30,CZ,NULL,228,108
Laurel,31,CZ,NULL,354,110
Lewis River,32,CZ,NULL,364,192
Lexington,33,CZ,NULL,260,82
Lone Oak,34,CZ,NULL,173,50
Magnolia,35,CZ,NULL,469,127
Marigold,36,CZ,NULL,367,142
McGowan,37,CZ,NULL,51,42
Memorial,38,CZ,NULL,173,71
Mill,39,CZ,NULL,316,168
Mint Valley,40,CZ,NULL,438,137
Modrow,41,CZ,NULL,223,120
Mt. Solo,42,CZ,NULL,84,32
Nevada,43,CZ,NULL,250,97
Ocean Beach,44,CZ,NULL,279,96
Olson,45,CZ,NULL,193,74
Ostrander,46,CZ,NULL,285,144
Owl Creek,47,CZ,NULL,339,159
Pacific,48,CZ,NULL,285,135
Ponderosa,49,CZ,NULL,250,93
Powell,50,CZ,NULL,278,93
Redpath,51,CZ,NULL,220,96
Ridgecrest,52,CZ,NULL,18,14
Robbins,53,CZ,NULL,410,116
Rose Valley,54,CZ,NULL,169,118
Ryderwood,55,CZ,NULL,136,45
Sacajawea,56,CZ,NULL,537,152
Sandy Bend,57,CZ,NULL,256,127
Silver Lake,58,CZ,NULL,443,195
Sparks,59,CZ,NULL,176,58
St. Helens,60,CZ,NULL,126,60
Stella,61,CZ,NULL,263,119
Toutle,62,CZ,NULL,310,153
Tower,63,CZ,NULL,381,175
Tunstall,64,CZ,NULL,93,65
View,65,CZ,NULL,171,92
West Kelso,66,CZ,NULL,65,42
Willow Grove,67,CZ,NULL,81,36
Windemere,68,CZ,NULL,393,147
Woodage,69,CZ,NULL,228,82
Woodland North,70,CZ,NULL,387,166
Woodland South,71,CZ,NULL,346,135
Yale,72,CZ,NULL,196,120
