Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,FE,NULL,1614,550
BELCHER,101,FE,NULL,50,19
BOYDS,102,FE,NULL,85,27
CURLEW,103,FE,NULL,10,9
HALL CREEK,104,FE,NULL,62,27
INCHELIUM,105,FE,NULL,51,18
KELLER,106,FE,NULL,76,19
KETTLE RIVER,107,FE,NULL,121,37
KEWA,108,FE,NULL,64,25
LAMBERT,109,FE,NULL,50,13
MALO,110,FE,NULL,94,37
ORIENT,111,FE,NULL,76,29
REPUBLIC 1,112,FE,NULL,109,33
REPUBLIC 2,113,FE,NULL,100,42
SAN POIL,114,FE,NULL,122,50
SHERMAN,115,FE,NULL,144,23
SOUTH LAKE,116,FE,NULL,85,33
STORM KING,117,FE,NULL,107,48
TORODA,118,FE,NULL,56,18
TROUT CREEK,119,FE,NULL,152,43
