Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,GA,NULL,632,225
GROUSE-VOTE BY MAIL(*),101,GA,NULL,0,0
MAYVIEW-VOTE BY MAIL(*),102,GA,NULL,0,0
PATAHA,103,GA,NULL,89,41
PEOLA-VOTE BY MAIL,104,GA,NULL,6,2
PING - VOTE BY MAIL,105,GA,NULL,11,4
PLEASANT-VB MAIL,106,GA,NULL,26,9
SCOGGIN - VB MAIL,109,GA,NULL,60,18
TUCANNON - VB MAIL,110,GA,NULL,33,11
WARD 1,201,GA,NULL,59,17
WARD 2,202,GA,NULL,112,33
WARD 3,203,GA,NULL,131,45
WARD 4,204,GA,NULL,82,34
