Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,JE,NULL,9145,3025
101 Gardiner,101,JE,NULL,121,25
102 Port Discovery,102,JE,NULL,106,62
103 Crocker,103,JE,NULL,101,47
104 Cape George,104,JE,NULL,316,94
105 Discovery Bay,105,JE,NULL,297,85
106 North Jacob,106,JE,NULL,204,96
107 South Jacob,107,JE,NULL,296,101
200 Coyle,200,JE,NULL,130,60
201 Quilcene,201,JE,NULL,287,119
204 Brinnon,204,JE,NULL,340,148
300 Chimacum I,300,JE,NULL,203,69
301 Chimacum II,301,JE,NULL,111,60
302 Center I,302,JE,NULL,138,77
303 Hadlock,303,JE,NULL,264,113
304 Kala Point,304,JE,NULL,358,91
305 Irondale I,305,JE,NULL,200,87
306 Irondale II,306,JE,NULL,266,125
307 Four Corners,307,JE,NULL,185,63
308 Center II,308,JE,NULL,96,47
401 Nordland,401,JE,NULL,312,100
500 Port Ludlow,500,JE,NULL,368,100
501 Port Ludlow I,501,JE,NULL,396,106
502 Port Ludlow II,502,JE,NULL,231,79
503 Port Ludlow III,503,JE,NULL,266,53
504 Port Ludlow IV,504,JE,NULL,153,56
505 Port Ludlow V,505,JE,NULL,268,82
600 Hoh,600,JE,NULL,27,7
601 Queets,601,JE,NULL,23,8
700 Port Townsend,700,JE,NULL,284,103
701 Port Townsend,701,JE,NULL,162,36
702 Port Townsend,702,JE,NULL,188,49
703 Port Townsend,703,JE,NULL,236,48
704 Port Townsend,704,JE,NULL,149,42
705 Port Townsend,705,JE,NULL,190,53
706 Port Townsend,706,JE,NULL,451,156
707 Port Townsend,707,JE,NULL,408,109
708 Port Townsend,708,JE,NULL,399,122
709 Port Townsend,709,JE,NULL,369,97
710 Port Townsend,710,JE,NULL,246,50
