Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,PA,NULL,4482,1670
Baleville,1,PA,NULL,45,16
Bay Center,2,PA,NULL,83,41
Chinook,3,PA,NULL,148,51
Eklund Park,4,PA,NULL,41,13
Frances-Lebam(*),6,PA,NULL,0,0
Ilwaco 1 Rural(*),7,PA,NULL,0,0
Ilwaco 2 Rural,8,PA,NULL,43,18
Klipsan,9,PA,NULL,211,70
Menlo-Firdale,11,PA,NULL,194,58
Nahcotta,12,PA,NULL,461,155
Naselle,13,PA,NULL,270,100
Nemah,15,PA,NULL,25,11
North Cove,16,PA,NULL,174,79
Pioneer 2,17,PA,NULL,120,45
North River,18,PA,NULL,11,16
Ocean Park 1,19,PA,NULL,128,44
Ocean Park 2,20,PA,NULL,311,94
Oysterville,21,PA,NULL,236,85
Pioneer,22,PA,NULL,138,62
Raymond W2 R,23,PA,NULL,26,11
Raymond W3 R,24,PA,NULL,25,15
Seaview 1,25,PA,NULL,175,68
Seaview 2,26,PA,NULL,14,12
Smith Creek,27,PA,NULL,37,16
South Bend 1 R,28,PA,NULL,32,11
South Bend 3R(*),29,PA,NULL,0,0
South Bend 2R(*),30,PA,NULL,0,0
South Fork,32,PA,NULL,63,26
Willapa,34,PA,NULL,243,80
Ilwaco City,101,PA,NULL,203,62
Long Beach,103,PA,NULL,305,126
Raymond W1p1,105,PA,NULL,14,7
Raymond W1p2,106,PA,NULL,71,28
Raymond W1p3,107,PA,NULL,81,27
Raymond W2,108,PA,NULL,95,39
Raymond W3,110,PA,NULL,131,58
South Bend 1,113,PA,NULL,115,34
South Bend 2,115,PA,NULL,56,19
South Bend 3,117,PA,NULL,72,31
