Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,PE,NULL,2757,1178
Camden,1,PE,NULL,90,63
Cusick,2,PE,NULL,76,38
Dalkena,3,PE,NULL,174,59
Diamond Lk East,4,PE,NULL,62,32
Fertile Valley North,5,PE,NULL,95,43
Furport,6,PE,NULL,154,38
Ione East,7,PE,NULL,86,37
Ione West,8,PE,NULL,104,56
Metaline,9,PE,NULL,43,29
Metaline Falls,10,PE,NULL,113,38
Tiger Dry Canyon,11,PE,NULL,162,84
Newport NE,12,PE,NULL,137,61
Newport SE,13,PE,NULL,78,24
Newport NW,14,PE,NULL,139,34
Newport SW,15,PE,NULL,101,37
Noble,16,PE,NULL,173,91
Ruby,17,PE,NULL,17,6
Sacheen,18,PE,NULL,163,47
Usk,19,PE,NULL,95,51
Diamond Lk West,20,PE,NULL,106,36
Deer Valley North,21,PE,NULL,128,49
Locke,22,PE,NULL,20,10
Kalispel Leclerc,23,PE,NULL,83,36
Skookum,24,PE,NULL,31,26
Deer Valley South,25,PE,NULL,34,19
Fertile Valley South,26,PE,NULL,97,45
Diamond Lk,27,PE,NULL,196,89
