Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,TH,NULL,50546,15364
Cougar Mountain,28,TH,NULL,53,19
Clear Lake,30,TH,NULL,301,125
Lackamas,31,TH,NULL,69,34
Morris,32,TH,NULL,212,86
Evergreen Ballroom,33,TH,NULL,277,81
Trails End,34,TH,NULL,391,115
Kaiser,35,TH,NULL,106,34
Rich,36,TH,NULL,168,45
Delta(*),38,TH,NULL,0,0
Jones Beach,39,TH,NULL,127,27
Simmons 9(*),42,TH,NULL,0,0
University North,43,TH,NULL,81,35
Steamboat Island,44,TH,NULL,177,50
Rocky Prairie,45,TH,NULL,126,67
Lawrence Lake,46,TH,NULL,252,105
Woodard Creek,47,TH,NULL,187,63
Michigan Hill,48,TH,NULL,98,63
Scott Lake South,49,TH,NULL,145,73
Salmon Creek,50,TH,NULL,108,63
Spurgeon Creek,51,TH,NULL,98,28
James,52,TH,NULL,159,77
Vail,53,TH,NULL,234,107
Rochester 5,54,TH,NULL,186,99
Rochester 4,55,TH,NULL,151,70
Medicine Creek,57,TH,NULL,100,35
Skokomish,58,TH,NULL,160,66
Pleasant Hill,59,TH,NULL,242,65
Smith Prairie,60,TH,NULL,223,94
Black River,62,TH,NULL,297,120
Ames,63,TH,NULL,189,63
Airport,64,TH,NULL,12,10
Luhr Beach,65,TH,NULL,258,75
Fish Trap,66,TH,NULL,186,45
Quince(*),67,TH,NULL,0,0
Simmons 2,68,TH,NULL,4,2
Simmons 3(*),69,TH,NULL,0,0
Simmons 4,70,TH,NULL,13,2
Pines,74,TH,NULL,133,73
Long Lake,75,TH,NULL,57,10
Hawk Acres,76,TH,NULL,143,36
Zenkner Valley,77,TH,NULL,45,14
Tri Lakes,78,TH,NULL,104,48
University South,79,TH,NULL,116,49
Tolmie,80,TH,NULL,90,20
Military,81,TH,NULL,95,39
Glen Terra,82,TH,NULL,63,24
Prine,83,TH,NULL,34,20
Glenwood,84,TH,NULL,78,27
Greenridge,86,TH,NULL,130,42
Woodland,88,TH,NULL,214,49
Tilley,89,TH,NULL,214,109
Sweet Briar,90,TH,NULL,290,74
Deerbrush,91,TH,NULL,216,76
Mushroom Corner,92,TH,NULL,197,65
Trailblazer,93,TH,NULL,67,33
Frye Cove,94,TH,NULL,251,71
Oyster Bay,95,TH,NULL,245,69
Summit Lake,96,TH,NULL,164,80
Delridge,97,TH,NULL,63,18
Marvin,98,TH,NULL,245,81
Alpine,99,TH,NULL,360,109
Hewitt Lake,100,TH,NULL,270,74
Zangle,101,TH,NULL,211,64
