Row Label,PrecinctCode,County,Registered Voters,Debra L. Stephens,John (Zamboni) Scannell
Total,-1,WT,NULL,6833,1880
TEKOA IN,31,WT,NULL,151,41
OAKESDALE IN,32,WT,NULL,126,32
FARMINGTON IN,33,WT,NULL,43,13
GARFIELD IN,34,WT,NULL,129,40
COLTON IN,35,WT,NULL,116,34
UNIONTOWN IN,36,WT,NULL,69,24
ALBION IN,37,WT,NULL,109,37
LACROSSE IN,42,WT,NULL,77,32
ENDICOTT IN,43,WT,NULL,78,25
LAMONT IN,44,WT,NULL,16,2
ST JOHN IN,45,WT,NULL,133,43
MALDEN IN,46,WT,NULL,28,22
ROSALIA IN,47,WT,NULL,134,58
TEKOA 101,101,WT,NULL,27,14
OAKESDALE 102,102,WT,NULL,64,20
FARMINGTON 103,103,WT,NULL,20,6
STEPTOE 104,104,WT,NULL,68,19
GARFIELD 105,105,WT,NULL,59,12
PALOUSE RURAL 106,106,WT,NULL,124,36
PALOUSE 107,107,WT,NULL,217,69
COLTON 108,108,WT,NULL,69,14
UNIONTOWN 109,109,WT,NULL,40,15
PULLMAN RURAL 110,110,WT,NULL,310,62
PULLMAN RURAL 111,111,WT,NULL,89,19
ALBION 112,112,WT,NULL,74,15
PULLMAN CITY 113,113,WT,NULL,126,36
PULLMAN CITY 114(*),114,WT,NULL,0,0
PULLMAN CITY 115(*),115,WT,NULL,0,0
PULLMAN CITY 116,116,WT,NULL,325,88
PULLMAN CITY 117,117,WT,NULL,122,34
PULLMAN CITY 118,118,WT,NULL,240,51
PULLMAN CITY 119,119,WT,NULL,202,50
PULLMAN CITY 120,120,WT,NULL,480,109
PULLMAN CITY 121,121,WT,NULL,133,22
PULLMAN CITY 122,122,WT,NULL,112,28
PULLMAN CITY 123,123,WT,NULL,210,39
PULLMAN CITY 124,124,WT,NULL,25,9
PULLMAN CITY 125,125,WT,NULL,13,5
PULLMAN CITY 126,126,WT,NULL,21,6
PULLMAN CITY 127,127,WT,NULL,21,10
PULLMAN CITY 128,128,WT,NULL,49,13
PULLMAN CITY 129,129,WT,NULL,53,18
PULLMAN CITY 130,130,WT,NULL,57,19
PULLMAN CITY 131(*),131,WT,NULL,0,0
PULLMAN CITY 132,132,WT,NULL,0,0
PULLMAN CITY 133(*),133,WT,NULL,0,0
PULLMAN CITY 134,134,WT,NULL,17,11
PULLMAN CITY 135,135,WT,NULL,184,42
COLFAX RURAL 136,136,WT,NULL,95,31
COLFAX RURAL 137,137,WT,NULL,161,59
WILCOX 138,138,WT,NULL,84,24
COLFAX CITY 139,139,WT,NULL,155,54
COLFAX CITY 140,140,WT,NULL,139,32
COLFAX CITY 141,141,WT,NULL,118,34
COLFAX CITY 142,142,WT,NULL,205,58
DUSTY 143,143,WT,NULL,34,4
HAY 144,144,WT,NULL,17,2
HOOPER 145,145,WT,NULL,11,6
LACROSSE 146,146,WT,NULL,45,10
ENDICOTT 147,147,WT,NULL,65,27
LAMONT 148,148,WT,NULL,23,6
ST JOHN 149,149,WT,NULL,127,48
MALDEN 150,150,WT,NULL,6,2
ROSALIA 151,151,WT,NULL,50,12
THORNTON 152,152,WT,NULL,44,6
PULLMAN 218,218,WT,NULL,270,74
PULLMAN 228,228,WT,NULL,20,7
PULLMAN 234,234,WT,NULL,54,16
PULLMAN 235,235,WT,NULL,321,64
