Row Label,PrecinctCode,County,Registered Voters,Chris Stearns,Dennis Pulsipher
Total,-1,TH,NULL,38725,24260
Cougar Mountain,28,TH,NULL,39,20
Clear Lake,30,TH,NULL,284,122
Lackamas,31,TH,NULL,60,31
Morris,32,TH,NULL,194,104
Evergreen Ballroom,33,TH,NULL,217,130
Trails End,34,TH,NULL,274,196
Kaiser,35,TH,NULL,81,48
Rich(*),36,TH,NULL,0,0
Delta(*),38,TH,NULL,0,0
Jones Beach,39,TH,NULL,83,72
Simmons 9,42,TH,NULL,3,3
University North,43,TH,NULL,75,37
Steamboat Island,44,TH,NULL,145,75
Rocky Prairie,45,TH,NULL,125,63
Lawrence Lake,46,TH,NULL,198,138
Woodard Creek,47,TH,NULL,129,109
Michigan Hill,48,TH,NULL,103,52
Scott Lake South,49,TH,NULL,135,76
Salmon Creek,50,TH,NULL,108,64
Spurgeon Creek,51,TH,NULL,69,54
James,52,TH,NULL,135,91
Vail,53,TH,NULL,211,106
Rochester 5,54,TH,NULL,191,93
Rochester 4,55,TH,NULL,139,74
Medicine Creek,57,TH,NULL,91,41
Skokomish,58,TH,NULL,150,78
Pleasant Hill,59,TH,NULL,179,120
Smith Prairie,60,TH,NULL,190,110
Black River,62,TH,NULL,236,165
Ames,63,TH,NULL,126,106
Airport,64,TH,NULL,5,17
Luhr Beach,65,TH,NULL,188,140
Fish Trap,66,TH,NULL,143,73
Quince(*),67,TH,NULL,0,0
Simmons 2,68,TH,NULL,4,2
Simmons 3,69,TH,NULL,6,3
Simmons 4,70,TH,NULL,7,7
Pines,74,TH,NULL,150,57
Long Lake,75,TH,NULL,47,17
Hawk Acres,76,TH,NULL,90,106
Zenkner Valley,77,TH,NULL,37,21
Tri Lakes,78,TH,NULL,103,51
University South,79,TH,NULL,98,56
Tolmie,80,TH,NULL,80,27
Military,81,TH,NULL,85,45
Glen Terra,82,TH,NULL,47,33
Prine,83,TH,NULL,34,14
Glenwood,84,TH,NULL,56,44
Greenridge,86,TH,NULL,105,64
Woodland,88,TH,NULL,164,90
Tilley,89,TH,NULL,190,117
Sweet Briar,90,TH,NULL,215,146
Deerbrush,91,TH,NULL,190,108
Mushroom Corner,92,TH,NULL,168,95
Trailblazer,93,TH,NULL,58,44
Frye Cove,94,TH,NULL,165,127
Oyster Bay,95,TH,NULL,177,121
Summit Lake,96,TH,NULL,119,110
Delridge,97,TH,NULL,42,36
Marvin,98,TH,NULL,199,117
Alpine,99,TH,NULL,261,196
Hewitt Lake,100,TH,NULL,207,115
Zangle,101,TH,NULL,143,111
Boston Harbor,102,TH,NULL,174,123
Gull Harbor,103,TH,NULL,128,49
Friendly Grove,104,TH,NULL,107,57
South Bay,105,TH,NULL,188,133
Puget,106,TH,NULL,184,140
Bigelow,107,TH,NULL,149,84
Pleasant Glade,109,TH,NULL,95,75
Montgomery,110,TH,NULL,101,33
Nisqually,111,TH,NULL,122,85
Roosevelt,112,TH,NULL,224,100
Kinwood,113,TH,NULL,143,86
Mckinley,114,TH,NULL,58,32
Forest,115,TH,NULL,227,147
St Clair,116,TH,NULL,165,116
Hicks,117,TH,NULL,30,11
Fleetwood,118,TH,NULL,226,120
Lydia Hawk,119,TH,NULL,279,165
Hays,120,TH,NULL,115,79
Indian Summer,121,TH,NULL,166,140
Chambers,122,TH,NULL,234,175
Freedom,123,TH,NULL,193,138
Fristoe,124,TH,NULL,115,72
Deschutes,125,TH,NULL,196,103
Longmire,126,TH,NULL,114,64
Ruth Prairie,127,TH,NULL,73,43
