Row Label,PrecinctCode,County,Registered Voters,Todd Donovan,Delaine (De) Clizbe,Larry Helm,Dick Donahue,Bob Hall,Kent S. Murray,Stoney Bird,Bob Burr,Bruce Clawson,Tom Walstrom,Kevin Byford,Barbara Ryan,Michele Stelovich,Thomas Stuen,Eli Mackiewicz,Orphalee Smith,Nancy Metcalf,Anthony (Tony) Wallace,Alison (Alie) Walker
Total,-1,WM,NULL,10584,4818,2739,4501,2115,2933,1615,4329,2495,1477,264,11346,1590,8783,6786,5829,2612,560,10121
164    ,164,WM,NULL,63,39,52,64,24,37,13,27,10,20,1,61,9,61,46,62,16,4,50
165    ,165,WM,NULL,56,85,42,102,29,82,9,31,15,13,2,63,13,48,46,112,20,8,63
166    ,166,WM,NULL,217,136,89,141,41,96,46,102,41,35,8,226,43,174,144,122,71,22,189
167    ,167,WM,NULL,26,35,24,37,10,34,4,13,5,12,2,21,6,21,19,36,4,2,27
168    ,168,WM,NULL,189,189,116,221,69,132,26,77,94,43,4,212,32,166,97,257,51,19,169
169    ,169,WM,NULL,277,161,91,180,62,113,20,130,82,65,7,304,51,262,199,200,55,10,296
170    ,170,WM,NULL,121,88,51,117,31,65,14,46,61,18,4,132,17,114,84,129,33,11,107
171    ,171,WM,NULL,242,128,48,109,44,69,17,69,64,43,8,256,37,208,165,133,40,12,230
172    ,172,WM,NULL,114,86,45,73,42,48,20,47,33,29,1,137,30,87,76,90,32,10,109
173    ,173,WM,NULL,157,98,43,111,51,69,16,50,65,30,8,160,29,131,107,143,34,17,141
174    ,174,WM,NULL,125,117,65,96,31,70,15,85,38,22,7,147,40,99,89,102,52,18,149
175    ,175,WM,NULL,194,102,58,70,23,62,45,87,46,20,8,198,37,151,123,106,60,14,190
176    ,176,WM,NULL,144,97,51,97,31,71,13,61,46,27,4,147,32,116,79,118,52,9,138
177    ,177,WM,NULL,133,80,49,76,26,58,18,50,36,24,5,137,29,110,87,59,31,4,128
178    ,178,WM,NULL,198,136,57,99,26,72,14,80,51,26,7,211,32,175,149,108,43,14,212
179    ,179,WM,NULL,45,31,21,38,11,21,12,31,16,4,8,45,13,33,39,23,14,8,38
180    ,180,WM,NULL,211,89,56,96,38,67,28,99,59,21,6,234,17,183,121,126,45,8,205
181    ,181,WM,NULL,204,166,66,161,73,86,30,101,68,47,10,229,49,177,121,191,60,25,207
182    ,182,WM,NULL,176,133,106,108,46,83,46,88,67,57,19,191,52,177,127,112,76,25,195
183    ,183,WM,NULL,6,5,4,1,0,2,2,2,3,3,0,6,1,2,5,7,5,1,4
209,209,WM,NULL,268,64,45,62,48,34,37,108,50,32,4,270,36,210,160,110,56,8,215
210,210,WM,NULL,334,59,48,52,46,30,56,130,40,36,6,340,33,251,220,101,65,5,293
222,222,WM,NULL,403,83,58,62,57,37,84,176,61,21,4,390,33,288,230,113,91,8,335
224,224,WM,NULL,90,25,18,10,9,13,20,55,8,4,3,95,12,66,57,25,31,2,91
225,225,WM,NULL,223,59,36,45,36,37,53,112,35,31,4,230,41,163,139,87,72,11,211
226,226,WM,NULL,119,29,23,17,10,11,22,56,16,9,0,132,17,95,81,37,37,2,116
227,227,WM,NULL,232,82,53,53,43,33,63,100,48,24,6,269,48,193,146,81,100,11,245
228,228,WM,NULL,206,58,50,34,28,27,65,109,17,14,0,218,31,138,126,67,80,3,196
230,230,WM,NULL,107,62,32,49,19,35,32,59,13,17,5,108,30,67,62,56,50,17,103
231,231,WM,NULL,179,77,46,67,26,52,47,99,37,15,4,179,29,119,119,94,63,13,176
232,232,WM,NULL,185,127,72,145,42,113,24,67,62,41,2,190,24,167,116,175,46,13,159
239,239,WM,NULL,222,150,61,129,73,93,31,83,53,45,4,248,35,189,148,168,50,14,215
240,240,WM,NULL,219,111,58,106,55,60,17,87,47,26,6,254,27,204,150,143,52,8,241
241,241,WM,NULL,142,77,42,82,59,49,14,69,35,30,5,167,23,127,97,104,45,18,156
242,242,WM,NULL,135,67,38,61,32,38,7,71,38,25,2,147,23,116,100,83,25,8,132
243,243,WM,NULL,199,117,61,94,52,62,20,72,61,34,4,224,45,170,149,116,42,8,200
244,244,WM,NULL,267,59,39,57,47,31,26,86,46,23,4,282,23,244,157,94,36,12,263
245,245,WM,NULL,69,41,22,24,11,10,47,41,12,10,4,72,27,25,41,33,36,7,59
246,246,WM,NULL,197,41,26,28,21,19,31,78,22,10,2,192,15,163,113,51,46,5,183
247,247,WM,NULL,143,40,23,20,17,9,21,74,18,13,5,135,28,123,86,40,46,5,145
248    ,248,WM,NULL,99,78,38,77,41,57,17,47,28,21,3,136,25,64,70,86,51,10,99
249    ,249,WM,NULL,214,112,53,112,47,74,21,71,65,35,2,236,29,197,151,130,50,7,234
250    ,250,WM,NULL,383,118,61,93,51,55,40,118,91,33,3,426,29,340,217,193,50,8,360
251    ,251,WM,NULL,254,62,39,77,41,41,30,72,56,25,3,274,17,234,165,111,31,6,248
252    ,252,WM,NULL,25,11,9,11,2,3,14,13,3,4,2,28,14,16,24,7,11,2,29
253    ,253,WM,NULL,135,62,37,37,29,24,30,72,27,18,6,140,33,89,84,43,56,8,127
254    ,254,WM,NULL,162,75,28,90,31,55,16,65,34,21,4,172,18,145,102,108,40,11,150
255    ,255,WM,NULL,134,75,40,63,26,41,9,52,33,11,3,134,16,107,84,61,26,10,118
256    ,256,WM,NULL,293,54,42,53,46,34,46,93,47,17,4,298,28,251,165,80,49,6,253
257    ,257,WM,NULL,135,28,19,23,19,10,20,56,22,10,1,149,14,99,79,45,28,1,124
258    ,258,WM,NULL,306,60,33,26,30,17,46,97,15,18,2,308,26,245,192,66,56,8,278
